text,ataque_grupo,ataque_individual
USER petralha lixo. prefiro meu cachorro q qualquer petista,1,1
"tô de saco cheio disso, mostro as tatuagens bem feliz da vida e ela solta um “tá e agr chega né?” chega o cacete, eu vou ser a sobrinha q tu não desejava porra, n sou a garota que tu queria q eu fosse, que tu fazia vestir rosa da cabeça aos pés, que não retruca e os caramba.. velha chata da porra, coisa de bolsonarista",1,1
"As mulheres são todas viciadas em compras, gastam dinheiro sem pensar.",1,0
"neguin pilantra. negro q fala q sofre racismo é mimimi, querem sempre vitimismo",1,1
rt @user kkkkkkkkkkkkkkkkkkkk eu sou muito filósofo olha isso https://t.co/eqcn0g4gwt,0,0
seu boiola do caralho. Tinha que ser esses viadinhos pra falar uma bosta dessas,1,1
">>62753eu estou tentando comer ela, mas tá complicado. ela é virgem e está complicado até de eu passar a mão na buceta dela. essa porra tá muito estranha, acho que vou pagar a foda fora.",0,1
🔥2/4 homão negão tirando a calça jeans e cueca branca. ele batendo punheta com pauzão grosso em sofá😻😈🔥 📸 🔱USER 🔱USER 🔱USER 🔱USER 🔱USER 🔱USER 🔱USER 🔱USER 🔱USER,0,1
USER Cala a boca vagabundo lixo...esquerdista de merda...defensor de bandido.,0,1
"Mulheres são mt complicadas, sempre querem controlar a situação",1,0
"Todo branco é mt arrogante, pensa que é melhor que todo mundo",1,0
O Rio Grande do Sul acha que o mundo gira em volta deles kkk,1,0
USER Waldilson a gente é amigo a mais de 12 se não me engano e até vc não vale nada amigo e é muito bom ser teu amigo por causa disso seu vagabundo heheh,0,1
"vai se foder sua puta. traveco de programa é doente, transmite aids pra caralho e ainda cobra caro",1,1
"tu sabe a diferença de ser homossexual e ser gay/bicha?""""  dessa vez a minha mãe chegou no auge",0,0
"USER é aquele cara que quer saber de tudo, mas não sabe de porra nenhuma rsrs",0,1
estou a ser forçada a ouvir asking alexandria e o meu eu de 12 anos is shaking,0,0
USER seu imbecil.>>62237>chamo outro anão de samefag>vai lá quotaralém de burro é judeu.,1,1
meu irmão foi pro show com uma das minhas camisas favoritas e tá chovendo mds que dor. O coitado vai se molhar todo,0,0
"Essas mulheres são mt chatas, sempre reclamando",1,0
USER a HASHTAG USER se for pra falar merda nem comenta crlh por isso que o USER tá do jeito que está.,0,1
"Sabia que um drogado ia acabar fazendo merda, esses tabacudo do caccete.",1,1
vc eh autista tambem pra querer defender o retardado do bolsonaro,0,1
meu crush do paraguai vau vjr pra curitiba pqp,0,0
"música sempre, o tempo todo! — ♫lance legal por guilherme arantes, do #soundhound https://t.co/o6poliep7g",0,0
rt @user ser o mais feio e chato em todos os seus grupos de amigos é essencial https://t.co/vhpsgrzho9,0,0
"vsf macaco preguiçoso. preto so sabe fazer baderna e pedir esmola, trabalhar q é bom nada",1,1
USER E o maior ladrão do mundo representa o que?,0,1
esse é o nosso presidente kkkk ta mais e USER na hora desse maluco sair do poder,0,1
