text,hatespeech_comb
cara vive outro mundo mundo real refugiados vivem favelas vizinhas fortalezas,1
incompetentes cuidam povo brasileiro poucos refugiados aqui,0
cumpanhero quebraram todas regras,0
conseguem pensar sentido lato além vê frente olhos,0
bom dia macaco branco haha,1
imagino ow mandei fazer body opressor pra duda hahahaha,0
parabéns brou menina bom demais,0
parabéns irmão saúde paz amém,0
ah convivendo apenas comigo fds precisava disso pensando mtas coisas trabalhando meio disso rs,0
sono rs cheiros tb adorei,0
oww linda trabalho amanhã dó,0
baummm hein coisa gostosa ando reflexiva enmm paz tb mto bom,0
nada faço básico hahaha,0
taí ótima sobremesas doces bolos,0
deixe lembranças saudades minarem enfrente ouça músicas linda msm conhece the corrs,0
ouvindo música preciso vc excelente linda foda pq tô separando pqp,0
cedemos encanto caímos boca caro,0
perfume pra mão jovem amantepra mão cappice,1
estimo foda profissional,1
bom dia sapatao vida,1
falei desde ontem kkkk,0
n ta errado épesquisa gente burra mulher trabalha menos homem,1
tal linha bonés,0
93 0911 jhu bom viado lindo 93 0911 dj luizinho bom dia sapatão gostoza,1
enem questão 1 oooooooooooooooooooooooooooooooooooooooooooooo sometimes vida gado ana julia pa gangnam style,0
extra imagine branco fazendo muçulmano notícia país inteiro,1
extraoficial terrorista louvre egípcio 29 anos chegou frança mês passado equipe,0
futebol escolinha adc santana adc pedreira copa rio branco amparo,0
1840 max vai tomar cu então 1840 max gorda feia 1840 max amor 1841 leticia gorda maxwell,1
ê lá casa,0
deixa adivinharpéssima relação pai gorda feia sequer assediada alguémacho dois hein,1
aaaaaaa quero falar trabalho sobre refugiados sei vou conseguir,0
aaaaaa turma 9 homens prof fala cabo sapatão conector femea femea todo mundo olha pra mim,1
afronta portugueses pára pnr portugal imigração,0
agência livead paulo adquiriu 40 exemplares livro meuamigosecreto feminismo além redes,0
alemanha tornou sentir “benefícios” i”migrantes” invasão islâmica,1
1a mão dia namoradosa 2a calha dia mulher benficadortmund criado testar relacionamentos benfiquistas,0
ameaça terrorismo radical islâmico bem real veja acontece europa oriente médio tribunais,0
ampla maioria uns retardados falam merda ganham fama porque jovens débeis mentais,1
ora bem perder linha verniz tolerantes acaba sempre estalar,1
atenção finalmente voltada infiltrados desocupados pegos,0
avaliar quantidade malta conhecida morreu 2016 in memoriam deste ano coisa durar umas 9 horitas boa oscars,1
abaixo apenas alguns exemplos manifestação favor direito orgulho hetero,0
bazófia jesus tão grande assumir erros abafa palhinha,1
abdnsndnns vai sair burca pra mostrar cara quero ninguém encima,1
aberração adulto impor crianças flácida relação ideologia gênero nada q parece nãoàideologiadegênero,1
abertas inscrições iii festival dança acontecerá abril estação cabo branco,0
abismo desigualdade injustiça renovarportugal portugal,0
bomba encontrada nazaré logo detonada panamá quase ano expresso espera brigada minas armadilhas,0
aborto crime repugnante contra vida tão frágil indefesa,0
abri janela tava gorda apartamento frente olhando pra baixo chorando acho caiu empadinha,1
heueheueheu fiquei achando branco arroz tb faço ideia olha gosto açaí,0
burra mulher esqueceu celular ônibus ta chorando aqui busão queria rir,1
acaba chegar redacao radio angola seguinte informacao pedro gonga liberdade,0
acabámos adicionar data tour overdose tourette 11 fev covilhã bilhetes aqui,0
acabámos adicionar data tour overdose tourette 24 fev ericeira bilhetes fnac aqui,0
acabei comemorar dia internacional mulher lavando louça diadamulher,0
acabei fazer casos cunhada vascarpim férias rendendo arte rsss,0
acabei ouvir cigana dizer q chineses povo sujo higiene q vive dorme qualquer lado cliché morreu hj 16h09,1
acabei ouvir casal rastas dizer pessoas passam dizem cheiramos malpffffelas cheiram champô,0
acabei pagar 20 reais carregador pq esqueci começando dia sentindo mulher burra brasil,1
acabo nomear general hr mcmaster conselheiro segurança nacional,0
cada feliz dia mulher menos pra feminista vejo quão burra sociedade,1
cadeira copo certamente lula,1
caminho base militar andrews primeiro ministro shinzo hoje cedo,0
campanha continuaeducacaosemideologiadegenero acesse adquira dois livros,0
cara feia vivian gorda roberta melhores coisas momento eh bbb17,1
cara gorda feia roberta bbb17,1
acções pnr oeiras cascais portugal,0
aceitei trocar benfica jantar romântico namorada desde pagasse gasolina amanhã lá estarei catedral,0
aceite chifres joaquinresponde,0
censura democrática pior todas porque arbitrária hipócrita cobarde finge existir existe,0
acham bandido machista to entendendo logica feminista agora toda atitude bandido cometido,0
achei pagina,0
achei cabelo branco sinto anos tintura chegando,0
acho engraçado vcs falam mal ustra idolatram che,0
acho irónico mulher ajudou nasa andar frente cadeira rodas oscars,1
acho mal metido carreira bárbara guimarães neste in memoriam oscars,0
acho mó engraçado galero tenta chamar atenção fznd piadinha burra sobre dia mulher,0
acho legal feministas compartilham coisa quebrando tabu chamam outras gorda feia briga macho parabéns p vc,1
acho q menina restaurante frente sapatão kkkkkk fica olhando,0
acho agora perdeu vezkkkkkkkkk dó,0
acho morango céu so pra rsrs tô sampa aqui n b vista tá nubladim meio frio,0
acho simone depende natal pra sobreviver papai noel,1
acho veja aceitou realmente faz jornalismo,0
acho sono resolveu desaparecer junto dinheiro espero dia têlos volta,0
acho vou gozar esefosseconsigo,0
