text,discurso_de_odio,ataque_individual
"Pior do que adolescentezinhas de merda...são pessoas que levam filmes tão a sério! O livro/filme é dela, ela faz o que quiser! E por mais ruim que seja, ta rendendo milhões (:",0,0
"Podia ter beijo também, pra ver se o homofóbicos cortar os pulsos",0,0
"o monark não é racista que filha da putagem, já sofreram mano, o flow vai cair e já era, bah que foda isso tudo...",0,0
fudeu minha mãe acabou de chegar em casa e eu acabei de acordar tomei no cu,0,0
"Vergonha,ainda segura a bandeira de um país de verdade ,não esse puteiro que tá tendo aqui. USER tá preocupado mais com a fama do que com o Brasil, nunca mais verá meu apoio",0,0
"""Heterofobismo?"" Pelo que eu saiba héteros nunca foram perseguidos, mortos e torturados por centenas de anos pela sua orientação sexual. Em alguns países do Oriente, gays são presos e , as vezes, mortos só por causa de orientação sexual. Isso NUNCA aconteceu e nem vai acontecer com héteros. A implantação nas escolas da ideia de que existem casais diferentes é ótima! O conhecimento é a arma contra a ignorância e tenho certeza que vai ajudar muitas crianças confusas por aí! ""Heterofobismo?"" Estude mais um pouco antes de abrir a boca e passar vergonha, por favor.",0,0
USER Jajajajajaja llevan 62 años diciendo lo mismo. Son gente ignorante. URL,0,0
Pra mim kkkk puta história fantasiosa,0,0
RT USER: Ojalá que Lina indique a alguno de los de Disney así aprenden a no ser burros HASHTAG,0,0
"Sinceramente, no Brasil o crime compensa,o cara mata a própria filha, de forma cruel, e ainda ta ai livre,que bosta de justiça a nossa!",0,0
Seu idiota porque vc acertou ele com uma faca,0,0
"É importante que o homem trate bem as mulheres, mas não acredito que foi isso que conquistou a mulher da questão, pois ela foi parando o carro e chamando pra fazer sexo.",0,0
Que bosta!!!✌🏽,0,0
USER USER Hindu santo par atyachar koi aam bat nahi hai gay mata ko kata jaa raha hai koi aam bat nahi hai yeh bharet hai yaha for dalo aur shasan karo is baat ka fayda angrejo aur mugloo ne uthaya tha modi ji ab karo vichar kattee gaye aur kathe hindu kare pukar,0,0
USER é USER ! USER é USER!! Kkkkkkkkkk,0,0
"O cara é foda, sem comentários. Que riqueza de detalhes. Perfeito. Merece o mundo.",0,0
"USER Quando anunciaram esse dinossauro, dava pulo de raiva depois daquela final com o santo André e ainda por cima com a mão no saco mucho e mostrando para nossa torcida, contrataram esse lixo e agora fica se fazendo de vítima.",0,0
"RT USER: USER semejante HIPÓCRITA, vis te sentis seguro por que las pandillas son tus amigos el Salvadoreño promedio vive…",0,0
"Primeiramente mandaria se foder pq amigo nenhum diz que outras garotas são melhores. Depois é perguntar se ele realmente tem interesse, e se não tiver parar de agir como se tivesse",0,0
USER esse maluco ai é asqueroso pprt e a mina é maluquinha da cabeça tambem,0,0
USER canalha!,0,0
USER Ladrões Unidos !,0,0
Meno burrão,0,0
"A podridão vindo a tona, USER está fazendo tudo que já de ruim nesse país se mostrar. Força USER, eles vão cair! Traidores da nação.",0,0
"USER USER USER Nojento, FDP, Ladrão.",0,0
RT USER: merda inferno cu buceta porra carai,0,0
Sexo a 4 hoje kkkk O boy do pornozão arrebentando na tv.. E Eu esse rabudo no amadorismo.. bundona porem cuzin apertado. Mas foi uma dlc fuder com ele ☺ URL,0,0
USER pais bizarro .,0,0
"A mulher coitada esta carente, mais USER culpada , o vara estava na dele.",0,0
RT USER: aproveitando as férias para moldar uma personalidade para o presencial.. estudioso? faltoso? piranha? preguiçoso? que tal esco…,0,0
USER A Folha desde sempre apoiando a DITADURA e apoiando FASCISTAS que até se esquece de falar sobre seus ESCÂNDALOS como EMPRESTAR CARROS para a DITADURA ir TORTURAR PESSOAS. A Folha GOLPISTA nunca faz uma “autocrítica” URL,0,0
"Não é vingativo? Kkkkk, USER , só é covarde. USER",0,0
"última vez que eu pisei em Tamandaré deu uma merda do crl e eu prometi que não ia mais vir pra esse buraco, aí hj eu vim dnv e dnv deu uma merda do crl KKKKKKKKK lugarzinho da porra vsf",0,0
"USER Son los aviones de combate más modernos que tenemos, ineptos. Y no los compraron ustedes. No compraron ni un planeador, corruptos",0,0
USER 🌐 o silêncio é o que mais mata,0,0
"USER USER Tche, ta com inveja da melhor regiao do país, pia azedo? 🤣🤣🤣 Fala isso perto da gurizada pra ver o que acontece cntg, bostinha. O facao ja ta afiado, mlhr tu ti atipa daqui!¡",0,0
E os machos q ficavam desmerecendo ela lá por ela ser negra e acima do peso vcs n ligam?,0,0
"USER bolsonaro, como se sente sabendo que é um merdinha e foi humilhado por gente foda? você é um bostinha, smttttttttttt",0,0
"Oque um idiota pode fazer em... Por isso minha mãe sempre me disse: selecione bem suas amizades... Só espero que o tal USER pague com a justiça pelo que ele incitou... Espero que a USER e o USER da Justiça façam a parte deles com a fala do abençoado USER! Exatamente oque o especialista disse... O nazismo pregava o arianismo... Acredito que o USER não tenha nem se quer tenha lido o que falou... Ou realmente ele é um criminoso (e ele realmente cometeu diversos crimes c a fala dele) que não tá nem aí pra quem sofreu com o nazismo! Existe algo chamado de ética (conjuntos de normas e valores) que fazem o mundo dar certo... O que o USER não entendeu nos seus 30 e poucos anos de vida é que se ele tem fala ou tinha, é graças a essa ética que existe no mundo, graças a esse conjunto de normas e valores!",0,0
USER tentando defender a Anitta só para conseguir uma entrevista???? Tudo que você já falou sobre “especialistas” vai por água abaixo depois os tweets que fez… Que vergonha,0,0
parabe´ns cara vc é USER fodah,0,0
Para Jojo que tá feio só que aparece,0,0
USER o teste de dna dela deu 100% portuguesa caralho etc,0,0
Se ele não tivesse respeito por uma mulher ele xingava ela agora na cara dela como muitos fazem! Parabéns USER,0,0
"vampiro que brilha no sol??? USER ""depilado"" a namorada do cara dormindo com outro e o USER falar q tá feliz com isso?? como o felipe USER mesmo fala:"" Que porra é essa??"" USER é ridículo. a sthephany USER ""tentou"" distorcer a figura do vampiro e do USER pra algo + feminino. e isso resultou em uma história totalmente absurda. quando lançou o livro (ou filme) fui assistir pensando que veria um ""vampiro"" e ""USER"" de verdade!! decepcionei geral ao ver a distorção que ela fez.",0,0
"USER merda, ridículo essa imposição. Pior ainda utilizando-se de crianças",0,0
Chora USER kkkkkk,0,0
Esse bicho é doido..,0,0
"USER USER tava ate indo bem até eu ler a palavra ""macho"" ... como se fosse errado ser homem. essa merda desse femimismo só apodrece mentes",0,0
"Caraca acordar assim tá pior que aqui em casa kkkkk a cara do maluco, da vontade de enfiar a mão na cara dele apesar que não estou mais pra briga!😨😬😮",0,0
"RT USER: usted no puede criticar a alguien si usted también tiene rabo que le majen, siéntese mejor",0,0
"Q nojo dessa mulher kkk, educação 0",0,0
"RT USER: Este man si es atrevido, dice eso de fico pero se le olvida que su mesías alias aureliano es un narco genocida y terrorista…",0,0
"USER USER Meu amigo, o problema é numa puta de uma crise com um fucking vírus rolando e o USER chamando a galera pras ruas............ USER ??????????????????? Que tipo de presidente é esse ? Um cara que não tem um pingo de preparo pra nada, fica estressado com literalmente TUDO que falam dele. Ao invés dele responder as entrevistas de forma séria e consistente, o cara responde "" eu vou te dar o furo"" pra jornalista.......",0,0
USER USER desse filme de mongoloide,0,0
"Essa juiza ganhou meu respeito em kkkk, parabéns juíza é isso aí tem q botar é rachando msm nesse bandido luladrao",0,0
"USER USER USER USER USER Urr durr, xenofóbico fudido do caralho",0,0
"mlk até hj dou risada de quando ela mentiu ter pego uma mina só pra ""ficar por cima"" kkkjkkkkkk mais pilantra que eu? ai eu vou ter que zuar",0,0
