text,discurso_de_odio,ataque_individual
"USER Que vagabunda hipócrita, pq eu beijei as duas então geral se traiu e ela n pode reclamar",0,1
USER Desgraçado. Mentiroso. Vc acabou com minha dignidade.,0,1
USER Quem abraça ladrão é o que sua bosta?,0,1
"O diabo é sujo mesmo, ele tem orgulho de contar cada detalhe pra envergonhar mais ainda ela. 🤢",0,1
USER Ja ta pedindo p ser punida? Sua putinha inutil do krl cala a boca e eu vou fazer oq quero,0,1
"USER pode achar seu principe encantado,mas sempre vai acabar: Gorda,feia,virgem,cheia de poster de crepúsculo a parede!!",0,1
"USER Não importa, ele é velhinho e burro não sabe nem falar ""analfabeto"". Você não tem respeito pelos mais velhos!? Vou contar ao divino",0,1
"Antigamente os lobisomens eram feras muito sanguinarias e travavam batalhas contra vampiros mais agora se uma menina ve um lobisomem ela fala:“nossa que estranho os lobisomens andão sem camisa"" USER ENUSERNDE UMA COISA A USER DO VAMPIRO USER BRILHA NO SOL CARALHO E USER USER USER USER SEM CAMISA E USER USER LOBUSER USER E TAMBÉM USER USER USER USER PORRRAAAAARRAAA",0,1
"Parabéns MonarZI por revelar seu caráter e ""opinião"" USER com palavras lindas. Já que USER acha que tudo se pode FAZER. Podemos da um tiro na sua cabeça? Todos têm direito de fazer tudo certo MonarZI? Tenho direito de te destruir? Certo? USER do Brasil pois no que USER acredita que Tudo se pode, até mesmo ser USER. USER também tem direito certo? Maior otário seu MonarZI.",0,1
"USER você errou feio cara, mas não irei te massacrar. Todos nós erramos cara. Segue em frente, levanta a cabeça. Boa sorte",0,1
Só mongolóide no vip HASHTAG,0,1
A USER ESCOLHEU O USER USER PARA HUMILHAR O USER. UMA USER 😉 ELA USER DE BOA.,0,1
proposta ridícula. ridículo uma empresa precisar fazer isso pra conseguir cliente. galera vem pra UP! www.upessencia.com.br/103774,0,1
Esse cara nunca foi mendigo 👀👀👀👀👀👀👀👀👀👀👀👀👀👀👀,0,1
USER essa que disse que o USER é ridículo deve ser fã de CREPUSCULO e num aguentou ouvir a verdade sobre o filme kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk',0,1
FAZ CALMA AGR SEU ARROMBADO FUDIDO DO CARALHO,0,1
