text,discurso_de_odio,ataque_individual
">americas lotado de caboclas gostosas partindo das pálidas até as mais escuras estilo pocahontas>das mais qt's até as mais cavalas >floquinho de neve quer porque quer se enfiar em uma reserva cheia de índio armado caçando ele com hilux pra sujar a genética de um povo que descende apenas de 70 pessoas e tem separação do resto da humanidade de mais de 24k de anosé muita síndrome de floquinho de neve, puta merda.",1,0
O povo burro é esse do Brasil!!! Invés de ficar perdendo tempo discutindo quem tá certo ou errado tínhamos que focar na pandemia!!! Esse povo da ESQUERDA E DIREITA não entende que esse não é momento pra ficar brigando e fazendo manifestações !! Depois pega a merda do vírus vai dar trabalho pra um pai ou mãe que não pode ir pra casa direito pois tem que ficar trabalhando dobrado em hospitais!! Vamos respeitar a quarentena!!parem de comer capim um pouco!!,1,0
"USER é romântico pra poha USER USER com o mendigo. Uma pele macia, quente, uma voz doce e envolvente. Caray o maluco é USER USER",1,0
"Uma palhaçada isUSER, USER no brasil existe isUSER... como pode alguem que pato os pais ou os filhos poder sair no dia dos pais! Quanta hipocrisia viu.",1,0
"USER USER mas eu não falei dele, falo dos doentes USERue saem de casa p apoiar presidente, tem USER lembrar USER ñ tem USER babar ovo de presidente, ja USER ele é USERue tem USER ser funcionário da nação",1,0
USER to louca p ver ele em pachinko por isso vi q o personagem eh meio canalha ne veremos,1,0
esse nate merece mil tiros no meio do cu dele fdp fdp fdpppp,1,0
JÁ USER USER USER USER! NÃO TEM UM NEGROOOOOO!!!!! USER,1,0
"USER Isso mesmo. Chamem negros de neguim, mandem todos tomar no cu, digam que só tem puta, e não esqueçam de falar das mocreias. Ah e tem que chamar todo mundo de analfabeto funcional com toxoplasmose. A não ser os que acreditam em terra plana e pezao.",1,0
"USER não entendo , pq USER USER fica com medo dela ? USER tem homem nessa porra não .......",1,0


"USER USER Kakakakakak esse povo no Br só escuta sertanojo, bregafunk e todas essas porcarias, por isso nao conhece musica de verdade.",1,0
"pois é,decaiu depois de sofrer uma lavagem cerebral das feministas",1,0
Como explicar pras crianças USER é lgbt? Que porra é essa bk?,1,0
E o bonde da Chatuba neguinho .. Beira mar falo ossama so eu o selcinho choro ue se fudeu .. e o barato e louco e o processo e lento liberdade pros ja pros irmão do sofrimento 💪🏾🙏🏽🥋🥋🐻🐻🚩🚩🔐🔒🙌🏾 HASHTAG,1,0
"USER citam eles como exemplo de vida né... de país desenvolvido. meu cu po são ricos e nada mais. e pago pau nos esportes pra eles, só",1,0
"Inacreditável que as pessoas aqui nos comentários vejam o cara expor a mulher dizendo em detalhes pornográficos o que ele fez com ela e ainda insistam nessa balela que o cara ""respeita as mulheres"". O cara que fez gestos obscenos para uma menor (a filha da mulher em questão)! O povo brasileiro nasceu para ser feito de idiota, não é possível!",1,0
Caramba que história louca,1,0
"Kkkkkkkkkkkkkkkk, malandro demais. A mulher quis dá, ele não tem culpa. O corno bravo do marido que fica insistindo que foi estupro.",1,0


"De acordo com USER , 99% (!!!) dos afegãos são a FAVOR da Sharia, a absurda lei islâmica! Mas o malvadão é _ URL",1,0
"RT USER: Oscars CANCELS films that don't have enough black, gay and disabled actors URL",1,0



"Tem que desenhar pra você entender? E outra, USER acha que é só beleza que a mulher tem que ter pro cara se interessar (Ele mesmo fala sobre isso quando fala dela)? Você não sabe separar as coisas, ele está falando da personagem da Saga e não da USER USER. A atriz faz uma personagem idiota, agora a propria USER, não a conhecemos... E é claro que se atriz quisesse ficar com o cara, ele ficaria. Como muitas, quando não tem agradam, vc USER o cara de gay por não ter nada a dizer.",1,0
"USER só pode ser hetero, e aprender a respeitar hetero, claro. defende que teve uma criação conservadora e pede respeito pelo direito de discriminar, oprimir e ofender, mas quando vê crianças sendo ensinadas a respeitar os outros acham isso um absurdo. A estupidez desse povo não tem limite.",1,0

USER 

🐵🙈🙉🙊= coisa de gayzao,1,0

USER USER Una vez que no es feminazi y la tratas así (?),1,0

"USER acho que USER de ser hetero gay ou USER mais oque, crianças nao precisam ser expostas a esse tipo de assunto, porque de novo, são CRIANÇAS",1,0



Agora que esses corno posta no Play USER eles deixaram a câmera no quarto sfd,1,0


"O corno pega um cara ""comendo"" a mulher dele dentro do carro e tem que ter Deus no coração e paciência? kkkkkkkkkkkkkkkkkkkkkkkkkk Ou a mulher é uma esquizofrenica (como dizem em algumas matérias) e precisa de tratamento ou ela é uma tremenda de uma Vadia.",1,0
USER USER La violencia feminazi!!! URL,1,0

Eu quero morrer. Não aguento mais ser brasileiro. E olha q eu não sou nem de longe eleitor dele.,1,0


USER país das piadas.,1,0
"Eu estou insatisfeito com essas pessoas que estão reclamando da propagando do O Boticário. Será que vocês preconceituoso são tão fáceis de influenciar como dizem?? Aos protestantes evangélicos e conservadoristas a lei mais importante que USER nos ensinou foi Amar uns aos outros, e pelo que vejo muitos não seguem esse caminho. Qualquer forma de amor é válida, não importa sua raça, crença, condição sexual, idade e etc. Não é por eu ser gay que USER não me ame e que vou para o inferno ou que irei ou iremos influenciar pessoas para serem homossexuais. Primeiro que se nasce gay e não optamos. E segundo parem com esse preconceito tonto e vão fazer algo útil pra vida medíocre que alguns possuem. Queria parabenizar o O Boticário pela iniciativa de mostrar que família tradiconal não se constitui apenas de um homem e uma mulher e sim de amor. Obrigado por representar essa minoria que grita por ajuda.",1,0


Povo frescurento do krl... mulher acordou normal dps vai dar crise dizendo q teve pesadelo,1,0
O que mais me deixa puto não é só a merda que o USER falou mas também passarem pano para o Kim USER que defendeu o Nazismo. Só pq o USER não tem imunidade parlamentar. Mas tem gente no Parlamento fez muito menos e mesmo assim foi preso tendo sua imunidade desrespeitadas.,1,0

"Concordo com vc na minha família também ensinarei assim homem com mulher no caminho cristão fora disso é fornicação aos olhos de DEUS",1,0
Vou confessar que ver fã de BBB putinho por causa da Doarda fez minha noite um pouco mais feliz,1,0
USER USER Parece marica ...deje de amenazar y si va a hacer ...haga las huevonadas...estos hijueputas uribistas creen que uno les va a comer de calle,1,0
"USER maior tara em palhaço esse povo em,1,0"
O USER de Jesus tem poder!!!! o mundo está acabando com a mente das crianças inocentes!!! Vão todos pro inferno ai ai no dia do Senhor!! Deus vai cobrar desses a inocência dessas crianças!!,1,0
"O USER USER fez USERada de mais, e essa tempestade em copo d'agua só prova seus USER como a sociedade BR é HIPÓCRITA, USER E USER"1,0
"USER uma negro pode reproduzir um comportamento racista mas não ser de fato, ele pode ser racista referente a outras raças como asiaticos por exemplo",1,0
"vou começar a andar de burca ai essas coisas não acontecem, ou sim já que homem é um ser desgraçado",1,0
USER amo seus videos Fodam-se keim num gosta,1,0
Se fosse em pais árabe ou mulçumano iriam explodir a sede dessa phora e catar os bandidinhus por trás desde agência até veio do dono,1,0
"E essa anta hipócrita tem não sei quantos seguidores ainda,o povo que gosta de idolotrar gente idiota sem nenhum conteúdo",1,0
USER gay for me?,1,0
