text,hatespeech_comb
o cara vive em outro mundo não no mundo real refugiados são os que vivem nas favelas vizinhas as suas fortalezas,1
estes incompetentes não cuidam nem do povo brasileiro e nem dos poucos refugiados que aqui estão,0
os cumpanhero quebraram todas as regras,0
é isso não conseguem pensar no sentido lato para além do que se vê a frente dos olhos,0
bom dia macaco branco haha,1
imagino ow mandei fazer um body opressor pra duda hahahaha,0
parabéns brou menina é bom demais,0
parabéns irmão saúde e amém,0
ah convivendo apenas comigo esse fds precisava disso pensando em mtas coisas e trabalhando no meio disso rs,0
e o sono rs cheiros tb adorei,0
oww linda trabalho amanhã dó,0
que baummm hein tem coisa mais gostosa eu ando reflexiva mas enmm paz tb mto bom,0
sou nada faço o básico hahaha,0
taí sou ótima com sobremesas doces bolos,0
não deixe as lembranças e saudades te minarem enfrente ouça músicas essa é linda msm conhece the corrs,0
ouvindo a música preciso de vc excelente linda foda pq tô separando pqp,0
cedemos ao encanto e caímos de boca meu caro,0
perfume pra mão jovem amante pra mão cappice,1
estimo que se foda será mais profissional,1
bom dia sapatao da minha vida,1
falei isso desde ontem kkkk,0
isso n ta errado mas épesquisa de gente burra a mulher trabalha menos que o homem,1
e que tal uma linha de bonés,0
jhu bom viado mais lindo dj luizinho bom dia sapatão mais gostoza,1
enem questão oooooooooooooooooooooooooooooooooooooooooooooo sometimes vida de gado ana julia pa gangnam style,0
extra imagine se fosse um branco fazendo isso com um muçulmano seria notícia no país inteiro,1
extraoficial o terrorista do louvre é um egípcio de anos que chegou na frança mês passado equipe,0
futebol escolinha da adc santana adc é pedreira na copa rio branco em amparo,0
max vai tomar no teu cu então max sua gorda feia max meu amor por você leticia eu sou gorda maxwell,1
ê lá em casa,0
deixa eu adivinhar péssima relação com o pai gorda feia sequer assediada por alguém acho que os dois hein,1
aaaaaaa eu quero falar no meu trabalho sobre refugiados mas não sei se vou conseguir,0
aaaaaa turma de homens e eu o prof fala de cabo sapatão conector femea femea e todo mundo olha pra mim,1
a afronta aos portugueses não pára,0
a agência livead são paulo adquiriu exemplares do livro meuamigosecreto feminismo além das redes para,0
a alemanha tornou a sentir os benefícios dos i migrantes da invasão islâmica,1
a a mão foi no dia dos namorados a a calha no dia da mulher o benfica dortmund foi criado para testar os relacionamentos dos benfiquistas,0
a ameaça do terrorismo radical islâmico é bem real veja o que acontece na europa e no oriente médio os tribunais _,0
a ampla maioria são uns retardados só falam merda e só ganham fama porque os jovens são como eles débeis mentais _,1
ora bem já está a perder a linha o verniz dos tolerantes acaba sempre por estalar,1
a atenção finalmente está voltada aos infiltrados desocupados eles serão pegos,0
a avaliar pela quantidade de malta conhecida que morreu em o in memoriam deste ano é coisa para durar umas horitas na boa,1
abaixo apenas alguns exemplos de manifestação a favor do direito ao orgulho hetero,0
a bazófia de jesus é tão grande que para não assumir os seus erros até abafa o palhinha,1
abdnsndnns ela vai sair de burca pra não mostrar a cara não quero ninguém encima dela,1
aberração é um adulto impor às crianças a flácida relação da ideologia de gênero nada é o q parece ser,1
abertas as inscrições iii festival de dança que acontecerá em abril na estação cabo branco,0
abismo da desigualdade e injustiça,0
a bomba encontrada na nazaré foi logo detonada já a do panamá está quase há um ano no expresso à espera da brigada de minas e armadilhas,0
aborto é crime repugnante contra uma vida tão frágil e indefesa,0
abri a janela tava uma gorda no apartamento da frente olhando pra baixo e chorando acho que caiu a empadinha dela,1
heueheueheu eu fiquei achando que o branco era arroz tb mas não faço ideia e olha que gosto de açaí,0
a burra da mulher esqueceu o celular no ônibus e ta chorando aqui no busão queria não rir,1
acaba de chegar a redacao da radio angola a seguinte informacao pedro gonga já estou em liberdade mas não foi,0
acabámos de adicionar mais uma data à tour de overdose de tourette fev covilhã bilhetes aqui,0
acabámos de adicionar mais uma data à tour overdose de tourette fev ericeira bilhetes na fnac e aqui _,0
acabei de comemorar o dia internacional da mulher lavando a louça,0
acabei de fazer esses casos para minha cunhada vascarpim minhas férias estão rendendo arte rsss,0
acabei de ouvir uma cigana dizer q os chineses são um povo sujo e sem higiene q vive e dorme em qualquer lado o cliché morreu hj às h,1
acabei de ouvir um casal com rastas dizer isto as pessoas passam por nós e dizem que cheiramos mal pffff elas é que cheiram a champô,0
acabei de pagar reais em um carregador pq esqueci o meu já começando o dia se sentindo a mulher mais burra do brasil,1
acabo de nomear o general h r mcmaster como conselheiro de segurança nacional,0
a cada feliz dia da mulher menos pra feminista eu vejo o quão burra é a sociedade,1
a cadeira com o copo certamente é do lula,1
a caminho da base militar andrews com o primeiro ministro shinzo hoje mais cedo,0
a campanha continua acesse e adquira dois livros de,0
a cara da feia da vivian e da gorda da roberta são as melhores coisas esse momento eh meu,1
a cara da gorda feia da roberta,1
acções do e,0
aceitei trocar o benfica por um jantar romântico com a minha namorada desde que ela pagasse a gasolina amanhã lá estarei na catedral,0
aceite os chifres,0
a censura democrática é a pior delas todas porque é arbitrária hipócrita e cobarde finge não existir mas existe,0
acham que ser bandido é ser machista to entendendo a logica feminista agora toda atitude de bandido cometido por _,0
achei essa pagina,0
achei um cabelo branco sinto que os anos de tintura estão chegando,0
acho engraçado que vcs falam mal do ustra mas idolatram che,0
acho irónico que uma mulher que ajudou a nasa a andar para a frente esteja numa cadeira de rodas,1
acho mal que não tenham metido a carreira da bárbara guimarães neste in memoriam,0
acho mó engraçado o galero que tenta chamar atenção fznd piadinha burra sobre o dia da mulher,0
acho muito legal as feministas que compartilham coisa do quebrando o tabu e chamam as outras de gorda feia e briga por macho parabéns p vc,1
acho q a menina do restaurante da frente é sapatão kkkkkk fica me olhando,0
acho que agora ela se perdeu de vez kkkkkkkkk que dó,0
acho que a morango tem um céu so pra ela rsrs nossa eu tô em sampa aqui n b vista tá nubladim e meio frio,0
acho que a simone depende mais do natal pra sobreviver que o papai noel,1
acho que a veja aceitou que realmente não faz jornalismo,0
acho que meu sono resolveu desaparecer junto com o meu dinheiro espero um dia tê los de volta,0
acho que nem vou gozar mais até,0
acho que o cara da redação do enem deveria perder pontos pq não ficou claro o sabor do miojo,0
acho que tatuagem colorida só fica bonito em gente muito branca,0
acho que vou ai que preguiça de dormir xerus,0
acho que vou pegar carona com a e mimir,0
acho ridículo mas respeito não sou homofóbico,1
acho seus argumentos ridículos não mudarão minha opinião mas eu não consegui refutar nem uma linha resumo eu _,0
a cidade de viseu já está preparada para nos receber na a feira despachem se a garantir a vossa presença vai ser _,0
a e a são desde hoje os nossos parceiros de media oficiais isso significa conteúdos exclusivos _,0
acima de tudo uma vitória esmagadora da classe,0
local castelo branco centro descrição atividade tecnica vistorias,0
a coisa q mais me da odio na vida é mulher machista qnd escuto alguma falando merda fico com mt abuso pq odeio gnt burra e ignorante tb,1
a comissão europeia afirmou que não hesitará em aplicar sanções contra os países que se recusam a receber,0
acompanhe minhas agendas sobre ideologia de gênero em todo país,0
acorda pra trabalhar ae cambada de vagabundo,1
acordar e ler uma notícia dessas isso não é mãe é um monstro que inversão de valores meu deus,0
quer defender os amigos bandidos e corruptos do partido como podemos aceitar isso sem ficar p da v _,1
a corrida pela liderança do cnd foi obviamente armação a escolha de bernie como ele próprio nunca teve chance _,0
a cota de negro aumentou nesse bbb né,1
a cp está a recrutar revisores e um dos requisitos é saber falar espanhol talvez fosse mais importante contratar pessoas que saibam crioulo,1
acredite se quiser existe agora agefluid faz parte da ideologia de gênero provavelmente que faz parte do ati _,0
a prova não importa se jair não é preconceituoso é apenas a q se enquadra na moda atual de difama lo _,1
a crimeia foi ocupada pela rússia durante o governo obama será que obama foi muito bonzinho com a rússia,1
actualmente aquele retardado que deitou numa banheira de nutela,1
a culpa do brasil estar do jeito que tá é única e exclusivamente da dilma,0
a culpa é das estrelas vermelhas,0
a culpa é de não ter tirado antes,0
acusações de estupro assédio ou agressão podem arruinar a vida de um homem ata,0
eu tenho conhecimento dessa doutrinação nas escolas uma triste realidade no brasil e no mundo,1
vdd nem conheci mas já dei block pessoa assim quero longe,0
ades patrocina nova versão da branca de neve,0
adeus faça boa viagem,0
adicionei um vídeo a uma lista de reprodução do angola china vs eua a verdade que você não,0
adicionei um vídeo a uma playlist islão não é para mim,1
a diferença de quem tem vergonha na cara vs vagabundo,0
a diferença entre os tribunais e as comissões parlamentares é que nestas últimas como não há pobres nunca há ninguém para condenar,0
eu acho o msm sobre vc branquelo,1
quando branco acha que racismo é coitadismo só me dá mais vontade de continuar com o perfil,1
vc quer q eu te chame de q palmito,0
adivinha qual a esquerda demoniza e qual a esquerda apoia,0
adorando essa cerimônia só nao to entendendo esses monte de país subdesenvolvido no meu estádio,0
adoro essa energia daqui não gosto de lembrar que vou trabalhar no feriado mas gosto de ter emprego então tá ótimo rs,0
adoro essa frase viva os loucos os normais estão acabando com o mundo rs,0
adoro estes católicos que se lembram da bíblia e deus quando é para serem homofóbicos mas depois só o islão é que é religião de violência,1
adquira agora o livro a ideologia de gênero na educação como esta doutrinação está sendo introduzida nas,0
adquira seu cupom pra dar pro clube do macho antes eram hs de chibata agora são,0
advogado e deputado não pode ser,0
advogados abandonam a tal moça que acusou feliciano de abuso agora a tal moça ataca outros deputado procurador,0
a e antes de voltar ao mais importante e abrir a minha cerveja matinal foda se,0
bolsonaro em discussão sobre idiotas e homofobia d,0
aeeeee dilma caiu ja posso viajar pra miami agora,0
a emma stone podia ir vestida de saco de lixo rodeado de sacos do lixo dentro de um camião de lixo que nunca estaria mal,0
a entrevista mais longa do super bowl com hoje à noite às pm br divirta se,0
a era em que homens começam a usar cor de rosa,1
aeroporto mário soares só faria sentido se fosse na ota ou em macau,0
a esquerda é assim lamenta a morte de bandidos mas diz matou pouco pra genocidas depois do stalin matou foi po _,1
a esquerda em uma palavra sujeira defendem uma ideologia sanguinária e culpam um sistema que eles mesmo usam são _,1
a esquerda é o próprio zumbi dos palmares quer libertar os negros de uma escravidão pra escraviza los em outra,1
