text,hatespeech_comb
cara vive outro mundo mundo real refugiados vivem favelas vizinhas fortalezas,1
bom dia macaco branco haha,1
perfume pra mão jovem amantepra mão cappice,1
estimo foda profissional,1
bom dia sapatao vida,1
n ta errado épesquisa gente burra mulher trabalha menos homem,1
93 0911 jhu bom viado lindo 93 0911 dj luizinho bom dia sapatão gostoza,1
extra imagine branco fazendo muçulmano notícia país inteiro,1
1840 max vai tomar cu então 1840 max gorda feia 1840 max amor 1841 leticia gorda maxwell,1
deixa adivinharpéssima relação pai gorda feia sequer assediada alguémacho dois hein,1
aaaaaa turma 9 homens prof fala cabo sapatão conector femea femea todo mundo olha pra mim,1
alemanha tornou sentir “benefícios” i”migrantes” invasão islâmica,1
ampla maioria uns retardados falam merda ganham fama porque jovens débeis mentais,1
ora bem perder linha verniz tolerantes acaba sempre estalar,1
avaliar quantidade malta conhecida morreu 2016 in memoriam deste ano coisa durar umas 9 horitas boa oscars,1
bazófia jesus tão grande assumir erros abafa palhinha,1
abdnsndnns vai sair burca pra mostrar cara quero ninguém encima,1
aberração adulto impor crianças flácida relação ideologia gênero nada q parece nãoàideologiadegênero,1
abri janela tava gorda apartamento frente olhando pra baixo chorando acho caiu empadinha,1
burra mulher esqueceu celular ônibus ta chorando aqui busão queria rir,1
acabei ouvir cigana dizer q chineses povo sujo higiene q vive dorme qualquer lado cliché morreu hj 16h09,1
acabei pagar 20 reais carregador pq esqueci começando dia sentindo mulher burra brasil,1
cada feliz dia mulher menos pra feminista vejo quão burra sociedade,1
cadeira copo certamente lula,1
cara feia vivian gorda roberta melhores coisas momento eh bbb17,1
cara gorda feia roberta bbb17,1
acho irónico mulher ajudou nasa andar frente cadeira rodas oscars,1
acho legal feministas compartilham coisa quebrando tabu chamam outras gorda feia briga macho parabéns p vc,1
acho simone depende natal pra sobreviver papai noel,1
acho ridículo respeito homofóbico,1
coisa q odio vida mulher machista qnd escuto alguma falando merda fico mt abuso pq odeio gnt burra ignorante tb,1
acorda pra trabalhar ae cambada vagabundo,1
quer defender amigos bandidos corruptos partido podemos aceitar ficar p v,1
cota negro aumentou nesse bbb né,1
cp recrutar revisores requisitos saber falar espanhol talvez importante contratar pessoas saibam crioulo,1
prova importa jair preconceituoso apenas 1a q enquadra moda atual difamalo,1
crimeia ocupada rússia durante governo obama obama bonzinho rússia,1
actualmente retardado deitou banheira nutela joaquinresponde,1
conhecimento dessa doutrinação escolas triste realidade brasil mundo,1
adicionei vídeo playlist islão mim,1
acho msm sobre vc branquelo,1
branco acha racismo coitadismo dá vontade continuar perfil,1
adoro católicos lembram bíblia deus serem homofóbicos islão religião violência,1
homens começam usar cor rosa,1
esquerda assim lamenta morte bandidos diz matou pouco pra genocidas stalin matou po,1
esquerda palavra sujeira defendem ideologia sanguinária culpam sistema usam,1
esquerda próprio zumbi palmares quer libertar negros escravidão pra escravizalos outra,1
esquerda morrendo câncer terminal,1
esquerda filha puta sempre,1
esquerdalha protegida sistema media melhor mostrar tolerância defende nantes,1
europa doente submissa espectáculos mariquice nojenta claro torna presa fácil islã,1
fdp come carne quer q vc tb coma chupar pau quer,1
feminazi cara pau pedir dinheiro blog ganhando boquinha 11 mil v,1
feminista pode dar alma primeiro encontro favor usecamisinha puta consciente,1
afffffff deus fica olhando funça atual dá ex,1
aff pq vc pinta cabelotd mundo sabe q vermelho loiro fica bom tom pele clara,1
afinal constituição república feita senhores serve quê violada,1
afinal privatização ensino médiosuperior brasileiro fim projetos sociais ajudam milhões vai levantar país,1
agenda março ideologia gênero,1
fazer grevenão trabalharé alívio brasil faz atrapalhar país devo,1
globo mentiu futebol feminino mulherada sempre iludida acredita tudo normal,1
agora deu tilt ameba cara pau comparar trump hugo chavez,1
agora umas gordas feias pra caralho,1
agora entendo nada branco pode namorar negra ue vão termina colégio pega vaga mac valeu,1
agora pareço gajos viram fufas dizem fufas pq nunca experimentaram pila lol,1
agora refugiados ideologia cultura completamente incompatíveis aí,1
agora sim latinos imundos vão parar tentar entrar eua trump,1
agora vc pensa cidadã cuida própria filha querer impor sala aula deve ensinado filho absurdo,1
água essencial coisa maricas cerveja essencial,1
hipocrisia esquerdista alta essência aqui ódio vai daí porra,1
ah artista tal eh gorda eh feia tanto dinheiro n melhora fode garota eh pq eh famosa q q perfeita,1
ai fiz 1 piada sexista machista nada disso vc burra senso humor feliz dia mulher,1
“ai luigi vc ta militando q saco” pois pq entendo privilégios ter nascido homem branco,1
imagem define esquerda direita esquerda vagabundo mascarado direita patriota bandeir,1
aí suspeito né vagabundos comprovado bandido atirando contra pm carro roub,1
ainda propósito afins aqui ficam palavras alguém próprio sistema pacheco pereira,1
ainda surpreendida cara sapatão dessa camilinha,1
internet feministase cia infiltradas órgãos justiça buscam combater crescente meio censura via justiça,1
ai saudade ditadura,1
ai preto bbb vo assistir kkk,1
ai vc chega colegio super cansada trabalho curso encontra grupinho sapatao falando ex coisa sapatao ex,1
nao esqueça quer receber refugiados guerra vai islamizar brasil,1
pra mulher hoje dia aguentar movimento feministatem macho kkkkk,1
justiça serviço todos mercê privilégios uns quantos,1
alô feminista portela voltou pai nada,1
alô feministas jesusestávoltando pai,1
alô feministas sistema solar resolveu aparecer pai nada,1
alô rapaziada vamos respeitar donzelas porcos bêbados imundos paz carnavalsemassedio usecamisinha,1
racismo machismo esteriotipar mulher causa dolugar nasceu ne claro,1
vc devia calar boca pq vc tão racista quanto,1
além tremenda baboseira quantidade erros português absurda qq meio comunicação sério vergon,1
melhor forma ajudar refugiados levar cultura ocidental pra lá contrário espalhando problema,1
alguem coloca faca muçulmano peito merkelpq acontece alemanha,1
alguém sabe dizer mulher negra aposenta idade diferente mulher branca,1
alguém avisa molecada carnaval ê bebedera putaria preservativo estranhos onde fica respeito próximo,1
aliás qualquer reunião base violão local propicio massacre serra elétrica apoio,1
aliás porra felipe neto sei neto imagino fracassou,1
lição hoje mulher burra brasil pulem ônibus movimento último degrau anchieta,1
lista talentos feminista clique aqui visualizar,1
luta continua orgulhohetero,1
mãe nóia disse quer justiça fácil prende,1
acho q vc fala bosta,1
ngm perguntou opiniao branca sobre racismo vc deu então acho q mesma,1
gente meninas dando biscoito acho q vc n eh mulher burra mundo,1
amante homem fudido burra duas vezes pepita mulher,1
maria vieira livre pensa cabeça ana bola produto lixo sistema emprego força,1
américamg olha oq senhor fez coelho safado,1
mídia fazendo prefeito fez comigo forçam tá homofobia rotulam ridicularizam,1
amigo acredite vc pode cortar pau defesa feminismo assim discurso feministo vai garantir foda hoje,1
mina tão gorda indireta mandei pra serviu,1
mina aguenta pronunciar alfabeto inteiro respirar quer pregar q gordofobia mata,1
casa aceita refugiados aka mónica,1
mãe quer expulsarme casa pq aqui existem fufas adoro família,1
mitológica desconhecida diferença imigrante ilegal turista,1
amo negros tao gnt boa pena q pararam vender,1
constituição 1932 porra bisavó nascida 32 quequeeutenhoavercomisso,1
mulher engenheira nuclear consegue boa cozinha puta merdaaaaa masterchefbr,1
mulher física nuclear cara oq tá fazendo cozinha masterchefbr,1
