text,racism,sexism,xenophobia,lgbtqphobia,religious_intolerance
">americas lotado de caboclas gostosas partindo das pálidas até as mais escuras estilo pocahontas>das mais qt's até as mais cavalas >floquinho de neve quer porque quer se enfiar em uma reserva cheia de índio armado caçando ele com hilux pra sujar a genética de um povo que descende apenas de 70 pessoas e tem separação do resto da humanidade de mais de 24k de anosé muita síndrome de floquinho de neve, puta merda.",False,True,True,False,False
"USER pode achar seu principe encantado,mas sempre vai acabar: Gorda,feia,virgem,cheia de poster de crepúsculo a parede!!",False,True,False,False,False
O povo burro é esse do Brasil!!! Invés de ficar perdendo tempo discutindo quem tá certo ou errado tínhamos que focar na pandemia!!! Esse povo da ESQUERDA E DIREITA não entende que esse não é momento pra ficar brigando e fazendo manifestações !! Depois pega a merda do vírus vai dar trabalho pra um pai ou mãe que não pode ir pra casa direito pois tem que ficar trabalhando dobrado em hospitais!! Vamos respeitar a quarentena!!parem de comer capim um pouco!!,False,False,True,False,False
"USER é romântico pra poha USER USER com o mendigo. Uma pele macia, quente, uma voz doce e envolvente. Caray o maluco é USER USER",False,True,False,False,False
"Uma palhaçada isUSER, USER no brasil existe isUSER... como pode alguem que pato os pais ou os filhos poder sair no dia dos pais! Quanta hipocrisia viu.",False,False,True,False,False
"USER USER mas eu não falei dele, falo dos doentes USERue saem de casa p apoiar presidente, tem USER lembrar USER ñ tem USER babar ovo de presidente, ja USER ele é USERue tem USER ser funcionário da nação",False,False,True,False,False
USER to louca p ver ele em pachinko por isso vi q o personagem eh meio canalha ne veremos,False,True,False,False,False
esse nate merece mil tiros no meio do cu dele fdp fdp fdpppp,False,True,False,False,False
JÁ USER USER USER USER! NÃO TEM UM NEGROOOOOO!!!!! USER,True,False,False,False,False
"USER Isso mesmo. Chamem negros de neguim, mandem todos tomar no cu, digam que só tem puta, e não esqueçam de falar das mocreias. Ah e tem que chamar todo mundo de analfabeto funcional com toxoplasmose. A não ser os que acreditam em terra plana e pezao.",True,True,False,True,False
"USER não entendo , pq USER USER fica com medo dela ? USER tem homem nessa porra não .......",False,True,False,False,False
Homem é um bicho estranho ao mesmo tmp ridículo 🤣,False,True,False,False,False
USER USER lamentável acredita que existe pessoas que apóia o LGBT,False,False,False,True,False
"USER USER Kakakakakak esse povo no Br só escuta sertanojo, bregafunk e todas essas porcarias, por isso nao conhece musica de verdade.",False,False,True,False,False
"pois é,decaiu depois de sofrer uma lavagem cerebral das feministas",False,True,False,False,False
Como explicar pras crianças USER é lgbt? Que porra é essa bk?,False,False,False,True,False
E o bonde da Chatuba neguinho .. Beira mar falo ossama so eu o selcinho choro ue se fudeu .. e o barato e louco e o processo e lento liberdade pros ja pros irmão do sofrimento 💪🏾🙏🏽🥋🥋🐻🐻🚩🚩🔐🔒🙌🏾 HASHTAG,True,False,False,False,False
"USER citam eles como exemplo de vida né... de país desenvolvido. meu cu po são ricos e nada mais. e pago pau nos esportes pra eles, só",False,False,True,False,False
"Inacreditável que as pessoas aqui nos comentários vejam o cara expor a mulher dizendo em detalhes pornográficos o que ele fez com ela e ainda insistam nessa balela que o cara ""respeita as mulheres"". O cara que fez gestos obscenos para uma menor (a filha da mulher em questão)! O povo brasileiro nasceu para ser feito de idiota, não é possível!",False,True,True,False,False
Caramba que história louca,False,True,False,False,False
"Kkkkkkkkkkkkkkkk, malandro demais. A mulher quis dá, ele não tem culpa. O corno bravo do marido que fica insistindo que foi estupro.",False,True,False,False,False
"A MULHER COM DIGUINIDADE E TER UM BOM CARATER, NAÕ VOTA NO CANALHA MULHERES VAGABUNDA E SEM VERGONHA VOTA NELE. URL",False,True,False,False,False
"00h USER USER USER USER USER fazendo essa parada de baitola pra dizer uma coisa importante vocês são viados, boa noite rapaziada",False,False,False,True,False
da série ninguém respeita versão: os argentinos 😂😂😂😂😂😂😂😂😂😂😂😂😂,False,False,True,False,False
vocês são umas otarias da merda! não ligam um caralho ao Porto b mas quando o Porto diz que alguma coisa do Porto b é de graça vocês até correm feitas cadelas! nojo de vocês.,False,True,False,False,False
"por dinheiro nego se traiu, ficou feio🤮",True,False,False,False,False
"De acordo com USER , 99% (!!!) dos afegãos são a FAVOR da Sharia, a absurda lei islâmica! Mas o malvadão é _ URL",False,False,True,False,False
"RT USER: Oscars CANCELS films that don't have enough black, gay and disabled actors URL",True,False,False,False,False
"Meu deus o cara USER ri como se nada tivesse acontecido, como se tivesse matado um cão, essa hora a filha esta no cemitério e eles ai USERrrindo isUSER é a certeza da impunidade desse pais nojente, tenho USER desse brasil USER.",False,False,True,False,False
"USER USER Eu defendo os gays em sites evangélicos, mas quem tem que ensinar tudo são os pais.Boa jogada do BK, copiou do Boticário 😂😂😂 Respeito os gays,convivi com um,bem que esse gostava de ser bancado por um senhor,não queria trabalhar, e vivia dando chifre no senhor que o bancava. Mas ele começou a ser após ser violentado, tinha jeito de homem, e dizia querer mudar. Mas não se empenhava. Existem casos que se tornaram gays por estupro.",False,False,False,True,False
USER Torcendo para os atletas oportunistas trans dominarem todos os esportes femininos! Quero ver o bug na cabeça das feminazis e ver se as atletas se rebelam contra esse absurdo!,False,True,False,False,False
"Tem que desenhar pra você entender? E outra, USER acha que é só beleza que a mulher tem que ter pro cara se interessar (Ele mesmo fala sobre isso quando fala dela)? Você não sabe separar as coisas, ele está falando da personagem da Saga e não da USER USER. A atriz faz uma personagem idiota, agora a propria USER, não a conhecemos... E é claro que se atriz quisesse ficar com o cara, ele ficaria. Como muitas, quando não tem agradam, vc USER o cara de gay por não ter nada a dizer.",False,False,False,True,False
"USER só pode ser hetero, e aprender a respeitar hetero, claro. defende que teve uma criação conservadora e pede respeito pelo direito de discriminar, oprimir e ofender, mas quando vê crianças sendo ensinadas a respeitar os outros acham isso um absurdo. A estupidez desse povo não tem limite.",False,False,False,True,False
"Povo ignorante bota um sujeito assim pra fazer fazer e votar lei, depois reclama que a lei não presta. URL",False,False,True,False,False
USER Pra mim tinha que cortar tudo tá esses parasitas André! Aqui pra nós..oh mulher estranha parece uma sapa!,False,True,False,False,False
"Essa menina só fala merda .. enganar gente burra é fácil, basta falar bonitinho mas sem conteúdo nenhum. Boa USER... Você não tem o estudo que ela tem mas enxerga melhor a realidade do que essa hipócrita",False,True,False,False,False
🐵🙈🙉🙊= coisa de gayzao,False,False,False,True,False
"Nunca vi alemão pedir nazismo de volta, nem USER fascismo, nem USER fascismo de Pinochet, nem USER fascismo de Franco. É só brasileiro USER pede ditadura. País merdinha, viu",False,False,True,False,False
USER USER Una vez que no es feminazi y la tratas así (?),False,True,False,False,False
"USER acho que USER de ser hetero gay ou USER mais oque, crianças nao precisam ser expostas a esse tipo de assunto, porque de novo, são CRIANÇAS",False,False,False,True,False
"USER USER USER USER USER Bunda mole, tu deixou teu time jogar 5 vezes a série B kkkk, torcida mais frouxa e covarde que existe. Tirou o pau do Flamengo da boca já? Atomozinho penta série B",False,True,False,False,False
Brasil sendo ridicularizado internacionalmente. Outros países mais desenvolvidos fazem chacota com essas posições fanáticas.,False,False,True,False,False
Agora que esses corno posta no Play USER eles deixaram a câmera no quarto sfd,False,True,False,False,False
USER Eu apoio tu ir em mais dois treinos e bater boca com essas arrombada,False,True,False,False,False
"O corno pega um cara ""comendo"" a mulher dele dentro do carro e tem que ter Deus no coração e paciência? kkkkkkkkkkkkkkkkkkkkkkkkkk Ou a mulher é uma esquizofrenica (como dizem em algumas matérias) e precisa de tratamento ou ela é uma tremenda de uma Vadia.",False,True,False,False,False
USER USER La violencia feminazi!!! URL,False,True,False,False,False
USER eu acho que sou homofóbico pois eu não apoio em nada essa propaganda com as crianças!🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,False,False,False,True,False
Eu quero morrer. Não aguento mais ser brasileiro. E olha q eu não sou nem de longe eleitor dele.,False,False,True,False,False
USER gayzao credo,False,False,False,True,False
"mulher quando fica grávida fica burra!quando começa o nível de burrice e eu pergunto se é gestante, se a respsta é 'sim' eu ate ja entendo!",False,True,False,False,False
USER país das piadas.,False,False,True,False,False
"Eu estou insatisfeito com essas pessoas que estão reclamando da propagando do O Boticário. Será que vocês preconceituoso são tão fáceis de influenciar como dizem?? Aos protestantes evangélicos e conservadoristas a lei mais importante que USER nos ensinou foi Amar uns aos outros, e pelo que vejo muitos não seguem esse caminho. Qualquer forma de amor é válida, não importa sua raça, crença, condição sexual, idade e etc. Não é por eu ser gay que USER não me ame e que vou para o inferno ou que irei ou iremos influenciar pessoas para serem homossexuais. Primeiro que se nasce gay e não optamos. E segundo parem com esse preconceito tonto e vão fazer algo útil pra vida medíocre que alguns possuem. Queria parabenizar o O Boticário pela iniciativa de mostrar que família tradiconal não se constitui apenas de um homem e uma mulher e sim de amor. Obrigado por representar essa minoria que grita por ajuda.",False,False,False,True,False
"USER Não tem conserto, somos cafonas, atrasados e ignorantes, e ainda temos escolas militares, tamos fodidos.",False,False,True,False,False
"USER USER sim, a mulher quem sai como a doida da história, sempre...",False,True,False,False,False
Povo frescurento do krl... mulher acordou normal dps vai dar crise dizendo q teve pesadelo,False,True,True,False,False
O que mais me deixa puto não é só a merda que o USER falou mas também passarem pano para o Kim USER que defendeu o Nazismo. Só pq o USER não tem imunidade parlamentar. Mas tem gente no Parlamento fez muito menos e mesmo assim foi preso tendo sua imunidade desrespeitadas.,False,True,False,True,False
"Falo tudo! Exelente, por mais que tenha demorado 10 hrs pra fazer que nem a(o) inutil falo ali em baixo (sabe deus se é mulher ou homem hoje em dia..) com certeza vlw super apena pra abrir os olhos desse bando de putinhas virgens q estão loucas pra dar a bunda esperando o fdp do principe vir com uma calça vermelha e um oculos sem lente pra escutar MUITA USER USERnora! -.- whatever, USER queria agradecer. Faça muitos muitos videos e tenha sucesUSER pra falar abertamente suas ideias, o mundo precisa.",False,True,False,False,False
Concordo com vc na minha família também ensinarei assim homem com mulher no caminho cristão fora disso é fornicação aos olhos de DEUS,False,False,False,True,False
Vou confessar que ver fã de BBB putinho por causa da Doarda fez minha noite um pouco mais feliz,False,False,False,True,False
USER USER Parece marica ...deje de amenazar y si va a hacer ...haga las huevonadas...estos hijueputas uribistas creen que uno les va a comer de calle,False,False,False,True,False
USER maior tara em palhaço esse povo em,False,False,True,False,False
O USER de Jesus tem poder!!!! o mundo está acabando com a mente das crianças inocentes!!! Vão todos pro inferno ai ai no dia do Senhor!! Deus vai cobrar desses a inocência dessas crianças!!,False,False,False,True,False
"O USER USER fez USERada de mais, e essa tempestade em copo d'agua só prova como a sociedade BR é HIPÓCRITA, USER E USER. seus USER",False,False,True,False,False
"USER uma negro pode reproduzir um comportamento racista mas não ser de fato, ele pode ser racista referente a outras raças como asiaticos por exemplo",True,False,False,False,False
"vou começar a andar de burca ai essas coisas não acontecem, ou sim já que homem é um ser desgraçado",False,True,False,False,False
USER amo seus videos Fodam-se keim num gosta,False,False,False,True,False
Se fosse em pais árabe ou mulçumano iriam explodir a sede dessa phora e catar os bandidinhus por trás desde agência até veio do dono,False,False,True,False,False
"E essa anta hipócrita tem não sei quantos seguidores ainda,o povo que gosta de idolotrar gente idiota sem nenhum conteúdo",False,False,True,False,False
USER gay for me?,False,False,False,True,False
"Vivemos em uma ditadura gayzista. Se você ousar discordar deles, é taxado de homofóbico. Querem fazer lavagem cerebral nas crianças, para que elas cresçam achando que o errado é certo.",False,False,False,True,False
"Você apoia um cara que tá gerando essas multidões em meio a uma pandemia?? Você apoia um cara que fala ""E daí"" pra as mortes no Brasil? Por essas coisas pode dar vergonha de ser brasileiro.",False,False,True,False,False
"país do caos, país da vergonha...povo ridiculo",False,False,True,False,False
"USER 5 DIAS ATRÁS, SE FAZ EGO SEARCH NÉ INDIO BAITOLA?",False,False,False,True,False
USER melhor que você pessoal não tem vergonha de defender empresa se ser gay se torna se crime no Brasil USER não dar a mínima o negocio dele só o marketing que foi um tiro no pé,False,False,False,True,False
"isso anão, case sim. mesmo com as atuais leis de divorcio sempre ferrando a vida dos homens e com a depósito de porra moderna sendo uma completa rosbife parasita, pode ir casar.o que poderia dar errado, não é mesmo?",False,True,False,False,False
Forest Gump é bom demais viado,False,False,False,True,False
ainda agora eu vi um mont de gay fazendo campanha na Internet engraçado que os hetero não precisam disso,False,False,False,True,False
"Contador de história... e o povo se sensibilizando nos comentários, mas vocês são inocentes mesmo né, que povinho manipulavel kkkkkk",False,False,True,False,False
"Se é contra os gays, jogue seu computador fora, pois ele foi criado por um gay. USER imediatamente de todas as redes sociais, pois a maioria são publicamente a favor dos gays, inclusive o Facebook e o USER, são as que mais participam de protestos e campanhas do gênero. Se o seu pastor não te falou sobre isso, pesquise você mesmo, alienado, use o cérebro! Vocês estão no lugar errado, lugar de falar de deus é na igreja e não na USER ;) USER é lugar de gente evoluída, que sabe o significado de amar. Se pra você amar tem padrões, você já ama errado!",False,False,False,True,False
"hahahahaha gente adorei ahahahahah, só quem gosta são os meninos que querem ser menininhas ahahah CONCORDO, colírios capricho e bandaas coloridas haahha, gente ameiii kkkk, só via gente pelando a porra do saco desse filme que é ridículo ai aparece vcc! ameeiii! suas expressões imitando eles é mto igual cara haah adoreiii rs!",False,True,False,True,False
"Tipo, o cara assiste esse comercial e o pinto já começa a cair",False,True,False,True,False
