text,discurso_de_odio,ataque_individual
Que voz insuportável tinha que ser mulher,1,1
"USER USER Pq se ofendeu com isso?! Vc é viadinho mesmo podeira ter reclamado de eu ter complementado com ""de merda""" bando de viado doente ,1,1
não ame o seu idolo porra vc ama piru porra. esses viado sujo,1,1
Que horror vc muiito gorda é feio mesmo essa geyzada ta fd,1,1
"ARTHUR DESGRAÇADO!!!! HASHTAG Tá falando que o jogo é individual e pipipopo, vitimas, vítimas, vítimas. Os mofados aqui fora lixo igual mesmo coisa de esquedista",1,1
Meu USER mas eu tô para ver uma pessoa Cara de Pau igual esse sujeito petista lixo,1,1
caralho que psicologia — né mano tomei uma dura só por ser babaca online vê se pode cara imbecil viu .abre o olho seus viado o porrete ainda existe ,1,1
Babaca demais esse Flávio Prado🤬 mais um desses bolsonarista nojento,1,1
Ele merece morre 😡 e essa pessoa que meteu a faca nele fez o certo e nem adianta vir chamar de petista. O probllema ta nos bolsonaristas burros não tem jeito.,1,1
"USER ridícula essa menina slc, tinha que ser gorda. Isso é abuso . Se fosse um homem gritando com todo mundo , era homofobia . E isso , o que é 🤔",1,1
rt USER aí mano que ridículo ficar roubando coisa dos outros né?! consciência de psycho essa daí...esses nordestino saão foda viu,1,1
Animal… vc acha que quem está por trás disso está preocupado com seus problemas???essa geyzada ta cada vez mais burra,1,1
Essas mulher sei n viu mas sim USER eu to zoando vc sua mulher mongoloide,1,1
USER USER temos culpa se vc e uma idiota da midia...mais uma esquerdista nojenta USER',1,1                                                                  
Ele diz que errou na forma que defendeu e não que mudou o pensamento enfim ele é um bosta assim como todo viado que apoia ele,1,1
"RT USER: USER USER USER Tá passando pano sim querida, deram espaço pra essa merda aí e ainda deram capital…agora aguenta negralha",1,1
"Que merda, cara! Que ideia mais estupida foi essa do Monark, velho? O flow nunca mais será o mesmo. O cara tem que ser muito burro, e se vc concorda vcs concordam vão todos tomarnocu seus viados",1,1
"USER USER USER GABRIEL ME ERRA SEU FUDIDO, gays sebosos sei nao viu",1,1
"essa geyzada ta fd, USER e vc é um deles né seu bosta do krlh",1,1
esse é o nosso presidente kkkk ta mais e USER na hora desse maluco sair do poder,0,1
USER TRAZ A INSULINA Q O GORDOLA CAIU DA CAMA,0,1
USER Cala a boca vagabundo lixo...esquerdista de merda...defensor de bandido.,0,1
USER Basta errar o pronome pra essa puta aí voltar a dropar uma cartela de antidepressivo por semana. Não vou sair de casa pra votar em quem tem relação com empresário safado que quer taxar o coitado que faz pequenas compras no exterior(eu).,0,1
"USER li alguns de seus comentarios e contatei USER eh muito otaria porra se USER USER gosta da critica dele USER assiste se USER acha que o certo eh vive se iludindo que vai axa um principe encantado esquecendo da vida viva essa sua vidinha escrota se USER USER faiz entao um video falando bem de crepusculo USER era melhor USER fala q era gorda pq falando que USER eh parece que USER esta desperdiçando mais a sua vida, USER2 USER ve o felipe USER chingando quem fala mal de harry USER pq ele gost",0,1
vou é dormir esses dois tempos de matemática slk velho chato fdp fala muito smt seu cachorro,0,1
Vai se foder seu burro cada analfabeto mano.,0,1
neguin ta com o cu na mao USER,0,1
"Seu cuzao mané, geral me ignorando no bgl",0,1
"USER ""Vá pro quintos dos Infernos, seu FDP...!"" É de coração.",0,1
essa menina é uma arrombada e tem gnt q da palco ainda,0,1
USER não passa de um drogado que só fala bosta e agora podemos ver que ele aprova o nazismo...,0,1
Esse cara é mais mulher que a mulher...gaydmskkkkk,0,1
"tô de saco cheio disso, mostro as tatuagens bem feliz da vida e ela solta um “tá e agr chega né?” chega o cacete, eu vou ser a sobrinha q tu não desejava porra, n sou a garota que tu queria q eu fosse, que tu fazia vestir rosa da cabeça aos pés, que não retruca e os caramba.. velha chata da porra",0,1
USER USER Negacionista ratazana vermelha.Mariopol foi toda arrasada ja nao existe..assassinos.de mulheres crianças idosos.é a escoria do mundo.Negacionista vc é  a merda no mundo,0,1
"""Cala boca viadooo"" huahuahua",0,1
Mds que mulher chata vo votar pra ela sair mano,0,1
USER Gabigol melhor da a bunda para entretenimento! 🤩,0,1
"USER! O argumento desse Monark é o uso da palavra ""M3rda""... e só., o cara não tem condições. estúpido",0,1
"USER USER. Eles já tem muitos clientes. USER não vai fazer falta não 😔. Na verdade, tirando uma pessoa tão agressiva e inútil como você, os clientes seriam apenas mais atraídos para a loja",0,1
RT USER: Kkkkk que otario este capitao ze cueca kkkkkk URL,0,1
fala do presidente genocida de nazista e ninguem fala nada o monark falou merda mas e USER USER fala e não da nada hipócrita vc viu,0,1
USER louis come a buceta dela logo ninguém aguenta mais ou vc é gay????,0,1
"RT USER: Senador miliciano, vagabundo, ladrão da rachadinha, mentiroso, como esse aí não perco tempo! HASHTAG Fonte d…",0,1
USER pqp e o caba burro ainda compactua c isso,0,1
"USER fala muita merda, era questão de tempo ele fazer algo do tipo! USER devia ter previsto isso... USER tem apenas idade de um adulto, é um cara desconstruido e imaturo.",0,1
"eu sei onde tu mora, vou arrancar os teus cabelo do rabo, amor",0,1
"Doente esse cara,",0,1
"USER USER USER Cê tá espumando num negócio que não muda nada na sua vida, vá pra puta que te pariu mermao",0,1
