text,homophobia,racism,misogyny,xenophobia
mais é ruim pra pedir desafio  esse técnico do  azerbaijão,0.0,0.0,0.0,1.0
"@user @user Vc deve ser louca, defendi o INPE na nossa conversa, ou vc é cega, disléxica, achei péssimo a exoneração feita hoje, tenho ciência do bom trabalho q o INPE faz, enfim, não vou perder meu tempo com vc, abraça o DataFolha aí, espere a virada do Haddad ou Ciro no segundo turno kkkkk",0.0,0.0,1.0,0.0
"@user @user Eu como morador da terra do meio no Pará e conselheiro de 2 UCs, posso falar com segurança que os dados do Inpe, realmente estavam sendo manipulados por ativista travestidos de cientistas pra prejudicar a imagem do governo Bolsonaro! Ontem o ministro Salles provou isso!",1.0,0.0,0.0,0.0
"@user @user @user Vc só pensa no Coaf. Acorda alice! Acha mesmo que a PF está engessada somente numa linha de investigação? Achei que como jornalista, era mais esperta.",0.0,0.0,1.0,0.0
"@user @user Não fale pelo povo nordestino. Sou maranhense, moro no Maranhão e não me importei nem um pouco. Sai da bolha, otário. Eu queria mesmo era dar um abraço e agradecer ao meu Presidente pelo que tem feito. Ah! E detesto maconha!",0.0,0.0,0.0,1.0
"mais sonsa que a minha mãe só duas dela, ela fez eu postar foto dela no facebook e fez a kátia cega no comentário kkkkkkkkkkkkkkk q odio",0.0,0.0,1.0,0.0
"Desgoverno da destruição, esconde dados !. estamos sendo enganados e roubados de todos lados e agora a certeza que esses covardes vão manipular dados para apresentação da falsa realmente.. até o presente mostrar o contrário a destruição visível do país.!. #ForaBol卐onaro",0.0,1.0,0.0,0.0
"@user É tá??? Porque não foi faz tempo cuidar dela? E ficou aí perdendo seu tempo em atacar pessoas do bem.?  Vc é seu macho não passam de terroristas. Sumam do Brasil, aqui não é  sua terra Sr. Gleen.",0.0,0.0,0.0,1.0
que rica verga,0.0,0.0,1.0,0.0
"vc n gosta de suju? — é sobre o leeteuk? 
eu me referia ao modo que o fandom trata o show do bts na arabia, como se super junior tivesse feito isso possível(?) e não o esforço dos 7, fora isso eu não tenho nada contra eles https://t.co/wg5eJA4NYW",0.0,0.0,0.0,1.0
teresinha e merda a mesma coisa odeio ela caralho,0.0,0.0,1.0,0.0
"@user duvivier kkkkk ninguém conhece vc, trouxa PTralha 👉🏼💩! Os  ""Paraíbas"" e o Brasil amam o Mito @user É o fim do PT e da boquinha do tal duvivier @user @user @user @user RT @user @user Baiano é inteligente 🧠👍🏼 https://t.co/gPmzt3xvJw",0.0,1.0,0.0,1.0
se alguém me contasse que a Sheherazade preocupada com o conforto emocional de bandido é a mulher que ficou famosa porque acha compreensível amarrar bandido no poste eu não acreditaria,0.0,0.0,1.0,0.0
"@user @user @user Curioso, pq isso cai como uma luva para a doceira plagiadora que por conta do fracasso ta com medo de lançar o 5° album kkkkk https://t.co/dCXkfRwddx",0.0,0.0,1.0,0.0
rt @user @user vamos comprar óleo de peroba pra passar na cara dessa mulher.,0.0,0.0,1.0,0.0
"@user @user veteranas que eu me refiro sao artistas consagradas e icones como Madonna, Britney, Mariah, Avril, Xtina e etc... Ariana nao é novata mas ta longe de ser uma veterana igual as que citei",0.0,0.0,1.0,0.0
"Amante braba p mim é aquela que sustenta a bronca de comer marido alheio, que quando a fiel descobre e vai na direção, bota a cara mesmo sem medo e fala : ""Estou com seu marido mesmo e vê o que você pode fazer"". Não essas q é frouxa, nega até a morte, chora e ainda chama família!",0.0,0.0,1.0,0.0
"@user acho que essas ""cidadãs"" estão cantando algo sobre sambar na cara do brasil!😐",0.0,0.0,1.0,0.0
"@user pqp,  da um chega pra la nessa mulher, que loucura",0.0,0.0,1.0,0.0
"@user Essa fase passou! Foi no tempo em que o pt estava no poder e apoiava ditaduras sanguinárias:
Angola, Cuba,  Zimbábue, Venezuela,  Congo, Guiné Equatorial e Gabão. Realmente vou uma fase deprimente da nossa história. Porém estamos caminhando para redenção. https://t.co/lZuvqqPGs5",0.0,0.0,0.0,1.0
"amiga??????? uhum, amiga que fala mal quando vc não está, amiga q quando vc ta fraca dá prioridade p outras, amiga q se tu n sair pra beber ficam tempos sem se falar, amiga q se tu der mole te joga de bola....amiga assim quero distância, prefiro ficar sozinha com 0 de amizade. 😉",0.0,0.0,1.0,0.0
“nordestino” como se todo nordestino fosse igual,0.0,1.0,0.0,1.0
"O que ela faz com o corno não chega aos pés do que ela pede pro amante...
#corno #namoradaputa #hotwife #esposasafada #cuckold https://t.co/f5Mpzzt85o",0.0,0.0,1.0,0.0
a pão careca passando na telinha de vcs 🤢 https://t.co/eu7z98zxhk,0.0,1.0,0.0,0.0
"Não tenho paciência pra branco no rap juro mano, acho que me fechei na minha bolha social com conhecidos brancos que assimilam tudo dentro do hip hop de maneira correta e quando me deparo fora desse bolha vejo uns caras falando uns bagulhos que me dá vontade de mutilar meu pênis",0.0,1.0,0.0,1.0
"@user ela q não se respeita meu amigo, não há nada que eu possa fazer haha",0.0,0.0,1.0,0.0
racional e corna pelo visto,0.0,0.0,1.0,0.0
"@user calma, ""negro""????",0.0,1.0,0.0,0.0
"@user @user @user Aaaaaaaahahahahaahahahahahahahaha tá com medo, baranga?! Prepara que que vai dar polícia!!!! #CorreVerdevaldo",0.0,0.0,1.0,0.0
"@user @user Será se n existem msm similaridades dentro dos dois exemplos? ambos são chineses, com protestos (principalmente) estudantil e repressao de uma ditadura. A novidade é psol denunciando e uns resto decrépito stalinista defendendo. Parece q tem q ver sim, mas d boa pra discordar",0.0,0.0,0.0,1.0
"@user eu nunca fiz nada pelo RPG nacional viado
tem q ser vocês
os cara da dragão brasil
não eu
(o azecos não da, 80 anos é foda ficar viajando de avião)",1.0,0.0,0.0,0.0
"Então pq chama a mina de interesseira? Se não conhece não fala oq não sabe, porra.
Isso deve ser medo né kkkkkkkk — KKKKKKKKKKKKKKK MAS É MESMOOOOOO https://t.co/AdKEQz9139",0.0,0.0,1.0,0.0
rt @user paga de apaixonada no wpp e no tt é a brabona kkkkkkkkkkkkkkkk🤮,0.0,0.0,1.0,0.0
"@user você está no país errado padre, muda para a venezuela ou cuba e faz ajuda comunitária.",0.0,0.0,0.0,1.0
nem conto as vezes que fui assediada em uber,0.0,0.0,1.0,0.0
@user tinha que ser homem branco kkkkkkkkkk,0.0,0.0,0.0,1.0
rt @user ai sou muito gay por ela https://t.co/jokk7amnj9,1.0,0.0,0.0,0.0
"a mnet boicota o loona e ainda vem PLAGIAR o conceito UNICO e NUNCA feito no kpop, mas vamos ter pena dessa cadelinha da mnet sem originalidade ne mores https://t.co/BqrpwMVJ6x",0.0,0.0,1.0,1.0
"@user que trem limpo, com certeza não é no rio de janeiro hahaha",0.0,0.0,0.0,1.0
"rt @user o que a mulher pensa quando tô com meu melhor amigo: deve tá rodeado de mulher

o que realmente acontece🤣: https://t.co…",0.0,0.0,1.0,0.0
"Dani cuidava dos calouros, puxou vários papos comigo, mas achei que ela só tava sendo simpática rs

no dia da matrícula, ela me veio com essa plaquinha e só achei engraçadinho, sem entender a indireta rs

ainda bem que ela insistiu na lerdeza e tamos juntas há 4.4 bem sapatonas https://t.co/gPZgUL7PT2",1.0,0.0,0.0,0.0
rt @user nasceu piranha e vai morrer piranha,0.0,0.0,1.0,0.0
"bateu apanha, quer pagar de fodona então aguenta as consequências.",0.0,0.0,1.0,0.0
"@user é cada doido, pqp. o brasileiro medio ta cada vez mais retardado",0.0,0.0,0.0,1.0
@user @user @user limeira puta roça,0.0,0.0,0.0,1.0
o auge foi eu chorando no final da festa pq tinha duas sapatao na minha frente se beijando e zoando uma com a outra nao pude evitar só sentir,1.0,0.0,0.0,0.0
"@user rala rolas
abraço hetero é um cara ralando a rola na rola do outro",1.0,0.0,0.0,0.0
"GÁS DA BOLÍVIA TERIA QUE SER DE GRAÇA PARA O BRASIL ATÉ PAGAR A DÍVIDA QUE DEVE PARA PETROBRAS QUE O FDP DO LULDRÃO DEU AO ÍNDIO.
Bolívia afirma que contrato fixa ""penalidades"" se Brasil comprar menos gás https://t.co/lyRlZ6M5JF",0.0,0.0,0.0,1.0
a jen mostrando a linguinha af garota toxica do caralho me fazendo sofrer,0.0,0.0,1.0,0.0
tem um casal sapatão no metrô 🥰🥰🥰🥰🥰,1.0,0.0,0.0,0.0
"rt @user já dizia minha amiga 
“eu posso erra na mega cena mas implicar com a puta errada nunca”",0.0,0.0,1.0,0.0
rt @user a bunda da vanusa salvou a sapatao de um belo banho de piscina kkkkkkk,1.0,0.0,0.0,0.0
@user mais piriguete que uma nick só duas,0.0,0.0,1.0,0.0
@user @user sou boiola por vcs @user,1.0,0.0,0.0,0.0
@user esse idiota! só os inocentes que assiste aos vídeos desse cretino. mas já estão aprendendo.,0.0,1.0,0.0,0.0
@user depois mandas foto puta,0.0,0.0,1.0,0.0
"rt @user passivo gostoso é aquele que aguenta rola e esse dos bons
@user @user @user https://t.co/uabgfu…",1.0,0.0,0.0,0.0
eu falo brincando e a clara pensa que tô falando sério kkkkkkkkk bichinha,1.0,0.0,0.0,0.0
falei q ia acordar cedo pra estudar e acordei agora meu deus uma vagabunda mesmo,0.0,0.0,1.0,0.0
"o pessoal comendo o cu do haron no posebr 

é o que ele merece por ter desmerecido meu trabalho https://t.co/dc2ad8zucm",1.0,0.0,0.0,0.0
"@user @user vai caçar uma rola, vai mulambo.",1.0,2.0,0.0,0.0
a verdadeira meta viado,1.0,0.0,0.0,0.0
preparei um look mo piriguete pra hj e me faz esse frio,0.0,0.0,1.0,0.0
quenguinha do jatinho na cara... pqp eu em kkkkkk,0.0,0.0,1.0,0.0
"enquanto ouver lingua e dedo, não a puta que meta medo",0.0,0.0,1.0,0.0
"@user só o flamerda pode contratar lixo europeu? os outros também podem, recalcado! 🤫",0.0,0.0,0.0,1.0
"rt @user tapa na cara sem mão , esse urubuzinho já tá passando vergonha já pqp https://t.co/ueplivsmpn",0.0,1.0,0.0,0.0
eu nasci pra ser sapatão namoral,1.0,0.0,0.0,0.0
"fumo dois balão pra ficar tega, ela fuma pra me dar buceta🎶🚩",0.0,0.0,1.0,0.0
@user @user hahahahahahahaha não é fácil ser sapatao,1.0,0.0,0.0,0.0
sou branco mas tenho vergonha da minha raça pqp,0.0,0.0,0.0,1.0
99% vagabundo mas aquele um por cento n deixa eu vira puta,0.0,0.0,1.0,0.0
dudao- piranha q eu goxto,0.0,0.0,1.0,0.0
viado eu sempre soube que ela era sapatão,1.0,0.0,0.0,0.0
"eu tô só adiando pra ir na casa de vovó, a bichinha já nem acredita quando falo que vou lá",1.0,0.0,0.0,0.0
"e a bia que se perdeu no caminho com a biz branca dela e eu e a marcela fomos desesperadas atras, ficamos procurando ela no caminho achando q ela tinha sofrido algum acidente e a vagabunda tava na casa dela comendo espetinho VSFD MANO",0.0,0.0,1.0,0.0
@user ilusão é lixo neguin kkkkkkkkk,0.0,1.0,0.0,0.0
"rt @user quando seu namorado é suavão, e vc é puta e bolada 👫❤ https://t.co/8jmkpwtpjh",0.0,0.0,1.0,0.0
"amora : pq tem uma piranha no guarda roupa? e não tô falando de mim 
eu: mas amiga eu tô na cama 

é aquilo 
tem que assumir a piranhagem",0.0,0.0,1.0,0.0
"Passivo sofrendo no pau do negão. Olha o tamanho desse pau.

@user
@user
@user
@user
@user
@user
@user
@user
@user
@user
@user
@user https://t.co/UzxnBsk93x",0.0,1.0,0.0,0.0
"@user Isso mesmo. Chamem negros de neguim,  mandem todos tomar no cu, digam que só tem puta, e não esqueçam de falar das mocreias. Ah e tem que chamar todo mundo de analfabeto funcional com toxoplasmose.  A não ser os que acreditam em terra plana e pezao.",0.0,3.0,1.0,0.0
"rt @user vem com vontade, vem fude essa putinha 😈😍 https://t.co/1ns8qypugx",0.0,0.0,1.0,0.0
@user deu mó pena viado,1.0,0.0,0.0,0.0
@user eu nao aguento mais ver sapatão com unha grande meu deus o que custaaaaaaaaaaaaaaaa,1.0,0.0,0.0,0.0
"Serio que voces querem fazer a gente acreditar que imposto baixo é ruim? Serio mesmo?

Vão tomar no cu vão. Sub-raça maldita https://t.co/QYM8mSCSdD",0.0,1.0,0.0,1.0
tenho que ler dois volume de dororo hj so pq o viado do meu irmão quer ler hoje a  noite,1.0,0.0,0.0,0.0
eu aí gay putinha aborteira rs,3.0,0.0,1.0,0.0
tô resfriada viado kkkkk,1.0,0.0,0.0,0.0
@user me admira ngm ter ido pra cima desse branquelo fodido,0.0,1.0,0.0,0.0
"@user nega pqp, meu sonho demais",0.0,1.0,0.0,0.0
quase matou no nego kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,0.0,1.0,0.0,0.0
macaca veia,0.0,1.0,0.0,0.0
pqp nesses nego divulgando bar do rosa como baile,0.0,1.0,0.0,0.0
@user não da pra acreditar q era um casal de sapatao,1.0,0.0,0.0,0.0
@user carai neguinho essa foi de fude,0.0,1.0,0.0,0.0
@user saudade bixa,1.0,0.0,0.0,0.0
@user aproveita e manda assar a sua carne de piranha tbm kkkkkkkkkkkk te amo bjos,0.0,0.0,1.0,0.0
a eunice falando que não aguenta mais macho e que vai virar sapatão jdkdkkd eu amo essa garota,1.0,0.0,0.0,0.0
@user n tem sentido nenhum separar pessoas que performam feminilidade ou não pqp é td bissexual e pronto fodase,1.0,0.0,0.0,0.0
"fiquei sabendo q vc só vai na faculdade pra ver macho, ridícula — só balbúrdia https://t.co/r5epkhyktu",0.0,0.0,1.0,0.0
a partir de agora eu só socializo com preto pq puta merda branco não tem salvação mesmo,0.0,1.0,0.0,0.0
cheguei à conclusão que meu ponto fraco é as pretinha 🤤,0.0,1.0,0.0,0.0
"Acabei de passar na frente de uma borracharia cheia de gente, e gritaram ""hoje vai dar veado no jogo do bicho"" e todo mundo começou a rir. Eu só espero que cada um desses caras morra da pior maneira possível, e eu não sinto rancor nenhum por isso",1.0,0.0,0.0,0.0
@user sabado que vem neguinha vai ta me enchendono saco pra sair,0.0,1.0,0.0,0.0
rt @user chorando vendo filme de sapatao sonhando com um dia que eu vou ter um romance clichê,1.0,0.0,0.0,0.0
@user putinha aguenta três pronta pro serviço,1.0,0.0,2.0,0.0
"rt @user cu eh igual bolo de aniversário, nós passa o dedo, se a dona não reclamar nós come.. kkkkkkkkkkkkkkkkkkkkkkkkkkkkk",0.0,0.0,1.0,0.0
"rt @user eu ri muito de culpa, não acredito que acordei minha bixinha :/ https://t.co/msrgp8vtji",1.0,0.0,0.0,0.0
"rt @user se fudeu, branco desgraçado https://t.co/bcxzircbbj",0.0,1.0,0.0,0.0
rt @user eu to falando que essa macaca vai ser horrível e ngm ta acreditando,1.0,1.0,0.0,0.0
@user @user me chama na dm que te faço de minha putinha,1.0,0.0,2.0,0.0
"Meto a 3a vez e vai saindo leite, continuo atė gozar de novo, gerente puta!
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user https://t.co/DhY1cV4v19",0.0,0.0,1.0,0.0
"Another bitch properly folded.
***(Mais uma puta devidamente arregaçada.)***
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user https://t.co/gpsQY44Coa",0.0,0.0,1.0,0.0
"acho que branco escroto tem mais que tomar no cu msm, mas nunca vou vibrar com violência assim não.",0.0,1.0,0.0,0.0
eu tava pensando nela e ela me mandou msg kwhdidhekd to muito boiola https://t.co/lidh9tujuq,1.0,0.0,0.0,0.0
"@user URGENTE! Glenn Greenwald Acaba de de ser decretada prisão preventiva!!A polícia Federal acaba de impedir o jornalista Glenn Greenwald de sair do país. Já teria despachado as malas pela American Airlines, no guichê de check-in foi barrado pelos policiais e encaminhado ?",1.0,0.0,0.0,0.0
rt @user n posso nem demorar dois dias p responder q a pessoa já fica putinha eu em gnt tóxica,0.0,0.0,1.0,0.0
@user @user Pará tava no Flamengo titular desde 2014 rondinei desde 2016...  Vários perebas Vaz rever Marcio Araújo... Como é que ganhar kkkk Fla agora que está contratando jogadores decentes..,0.0,1.0,0.0,1.0
“gordinha” ah vá pro caralho,0.0,0.0,1.0,0.0
@user já dei que você vai voltar arrastada pra casa kkk,0.0,0.0,1.0,0.0
"@user @user acho que você já viu os vídeos, né greg? 
ou seja, foi lacrar e se fodeu",1.0,0.0,0.0,0.0
"@user @user e aí, bumbum guloso? #bolsonaronabahia",1.0,0.0,0.0,0.0
toddy só faz eu passar vergonha kkkkkkkkkkkkk,0.0,1.0,0.0,0.0
"@user vrdd kkk to fora disso, bateção de cabeça deixo pra elas, eu quero é paz rss",0.0,0.0,1.0,0.0
"mulher: oi quer ficar cmg?

homem: não

mulher: ok

homem: oi quer ficar comigo?

mulher: não

homem: ata eu n queria mesmo VC É MO PIRANHA TOMAR NO SEU CU ARROMBADA, EU NUNCA QUIS FICAR COM VC SÓ TAVA TE TESTANDO",0.0,0.0,1.0,0.0
"[ au! chensung ]

» aonde jisung, um dos meninos mais populares da escola resolve chamar chenle, o aluno novo da sua sala para andar com você e seu grupinho. https://t.co/3VFLV0ht60",0.0,0.0,0.0,1.0
"@user mais uma mamadeira da lei rouanet, que ficou sem patrocínio do governo. se fosse boa artista, tava calada e trabalhando...",0.0,0.0,1.0,0.0
"@user 🤣🤣💣👮‍♂️
xadrez no verdinho",0.0,1.0,0.0,0.0
@user grande china....aquela do elefante no buraco da agulha foi foda né militão.... abraços...,0.0,0.0,0.0,1.0
rt @user olha como vc fala cmg heim te deixo careca garota😂😂 https://t.co/avivup20hi,0.0,0.0,1.0,0.0
"@user é o pet da draculaura (pesquisei pq fiquei confusa de ser a forma dela morcego)
a boneca preta da direita é custom n existe isso ai, fake news",1.0,1.0,0.0,0.0
@user @user conhece o paulista?,0.0,0.0,0.0,1.0
rt @user @user nao sei . pra mim todo japones que é comunista é burro... uma coisa q meu pai ensinou kk,0.0,1.0,0.0,3.0
@user e é o russo de araraquara,0.0,0.0,0.0,1.0
@user vc acredita? eu nao consigo nega só quando a miley mesmo falar,0.0,1.0,0.0,0.0
"minha vida parece novela mexicana. um dia ainda vou escrever um livro, sério.",0.0,0.0,0.0,1.0
@user esses são os tais russos pagos com criptomoedas naquele papo do pavão?,0.0,0.0,0.0,1.0
e o jungkook que de noite tava performando rainism e de manhã tava indo pra escola com o seu uniforme amarelo como se nada tivesse acontecido https://t.co/yG9cciVWKl,1.0,0.0,0.0,0.0
derruba minha conta big hit sua safada,0.0,0.0,1.0,0.0
eu mc saed fui da um rolé com o amigo na comunidade chegando la ele me apresentou uma novinha,0.0,0.0,1.0,0.0
marielle franco pode virar nome de avenida em caruaru https://t.co/eq8pn8cvfl https://t.co/iiz8iwwxak,0.0,1.0,1.0,0.0
@user @user minha amiga é igual a você só que morena! haha https://t.co/zgxjnmrgxr,0.0,1.0,0.0,0.0
não podemos admitir!justiça absolve homem por estupro porque vítima estava bêbada no rs - 02/08/2019 - uol universa https://t.co/kacyurtcbw,0.0,0.0,1.0,0.0
eu ai me agarrava nessa infeliz e descia unhada e tapa nela vsf fã coreana nao tem um pingo de simancol,0.0,1.0,0.0,3.0
@user grande china! vá com deus!,0.0,0.0,0.0,1.0
"@user Contra FATOS não há argumentos:

7 meses de governo

não liberou rinha de galo
não conseguiu separar o sul do resto do Brasil
não anexou a guiana francêsa
perdeu a bahia no truco pros soviéticos
e mato grosso pros alemães
maior indice de kPoppers dos ultimos anos. 🇧🇷👍",0.0,0.0,0.0,1.0
"rt @user macho: futebol não é pra mulher

futebol feminino:  https://t.co/7gny0tbylb",0.0,0.0,1.0,0.0
"rt @user @user @user dois bissexuais q são taxados de ""feios"" fora do padrão coreano metendo o murro nos coreanos apoio",1.0,0.0,0.0,1.0
rt @user mulher de cabelo vermelho é o capeta em forma de gente pra levar a gente fazer merda. https://t.co/6t8qkdoiit,0.0,0.0,1.0,0.0
@user Ao invés de verde e amarelo deveríamos sair vestidos de negro como em 1963! Um aviso de que nossa paciência chegou ao fim #STFVergonhaNacional,0.0,1.0,0.0,0.0
rt @user jungkook e jimin andando por tokyo espalhando muito amor e viadagem por onde passam  https://t.co/nnwucxn8jh,1.0,0.0,0.0,0.0
"@user ainda bem que vc n é de curitiba, se n teria que tá andando de regata e reclamando do calor.",0.0,0.0,0.0,1.0
caralho meu chefe é o loco mais boçal que existe tomara que exploda,0.0,1.0,0.0,0.0
5 dias sem tweetar no momento sou capaz de levitar objetos e explodir israel apenas usando a força do pensamento,0.0,0.0,0.0,1.0
"@user @user @user @user Não vejo nenhum assalto ou latrocínio na sua foto de perfil, claramente não há criminalidade no Brasil.",0.0,1.0,0.0,0.0
"n茫o aguento mais essas pragas falando que bp usa bots etc vsf v茫o sla lavar uma lou莽a, dar views pro fav de vcs, eu hein",0.0,0.0,1.0,0.0
"茅 sao paulo caralho 

mane s茫o pablo",0.0,0.0,0.0,1.0
@user chama ela pra fuder,0.0,0.0,1.0,0.0
