texto,label_odio
USER USER Tá cheia de amigos porcarias desse post né?! Continue assim! Hahaha,0
"Sabe o que é mais irônico? É exigir respeito e ao mesmo tempo desrespeitar a religião alheia, ironizar a crença das pessoas não vai te fazer um ser humano melhor! Acho ridículas essas generalizações, eu sou evangélica e jamais desrespeitei uma pessoa por ela ser gay/lésbica, penso que todos são dignos de amor e se eu tivesse um filho(a) gay jamais abandonaria ou deixaria de amá-lo. A partir do momento que o teu argumento torna-se ofensa, ele não vale de nada...é apenas mais um no meio de milhões de opiniões sem fundamentos, e disso o mundo está saturado!",1
"USER USER a boca USER USER""",0
"USER USER Kakakakakak esse povo no Br só escuta sertanojo, bregafunk e todas essas porcarias, por isso nao conhece musica de verdade.",1
"USER que homem burro né, pelo amor de deus eu sofri muito com ele nessa temporada",1
"USER!!! Finalmente alguem concordou comigo... A minha amiga me indicou o video pq disse que USER viu se lembrou de tudo que eu disse p/ ela!!!! Sinceramente.. a Bella é uma masoquista tarada e USER é o supra sumo do gay enrustido...Sério, como ela consegue sentir tesão por uma estatua em tamanho natural fria como gelo??? Nem quero imaginar a merda da lua de mel dos dois ecat!!! oO¹¹",1
USER cállate traveco puto,1
USER país das piadas.,1
USER USER USER Pinto calçudo da telecom,1
JÁ USER USER USER USER! NÃO TEM UM NEGROOOOOO!!!!! USER,1
"USER Nem sempre sucesso é algo elogiavel. Vc condena os argentinos por idolatrarem Maradona, por causa das varias porcarias que ele fazia. A gente não pode fazer o msm com Anitta? Não importa o sucesso que faz, é porcaria igual. Gretchen do século 21",1
USER mimado USER USER,0
"USER USER USER Se fosse um homem falando isso, tu era a primeira a xinga, ele né?! Exemplos de xingamento de lacradora hipócrita: cala boca seu escroto machista, seu esquisito debiloide vsfd Muito vezes até q dou razão pq existe muitos homens nojentos mesmo q não sabe respeita mulheres!",1
"Nossa aqui nos comentários várias mulheres que caíram na lábia do cara KKK, se ele fizer um livro vou comprar pra mim pegar mulher USER.",1
Sinceramente ? Nao acho que um comercial desses é desrespeito a familia. Primeiro porque nao desmereceram casal heterosexual e USER porque nao colocaram homossexuais se beijando na boca. Eu nao concordo com a pratica homossexual mas nao podemos excluir eles da sociedade. USER nos ensinou a amar e so o que vejo la sao comentarios de odio dos dois lados. Que exemplo de cristao é esse ? E que respeito é esse que eles querem ofendendo que nao concorda com homossexualismo? E parar de comprar boticario como vi em muitos comentarios... Por favor né. A boticario é uma empresa e precisam de marketing. Se nao incluissem casal gay sofreriam de preconceito.,0
"Que lindo... USER. Não há nada de mais nesse USER, engraçado que USER cheio de bunda e peito pode né, músicas com temas pornográficos pode né... Nosso mundo está do jeito que está por ter um monte mente pequena. Menos hipocrisia, mais amor. USER USER por incentivar o amor de todas as formas.",0
"Vim aqui pra deixar meu joinha pelo campanha fenomenal e em protesto ao tipo de cidadão USEReiro intolerante, inadequado e idiota que esta tentando boicotar um comercial tao lindo!!! USER USER... o USER precisa de mais iniciativas com esta, de mais empresas como essa. Viva o amor!",1
Como me arrependo de ter dado meu voto pra esse homem do mal!,0
Concordo com vc na minha família também ensinarei assim homem com mulher no caminho cristão fora disso é fornicação aos olhos de DEUS,1
"um casal de haitianos brigando gritando mo alto aqui na uem, a mina deu dedo na cara dele como queria saber falar crioulo pra saber do bafão",0
USER Bem sapatão de porcelana,1
"Tá de brincadeira né kkkk ele quer da lição de moral depois que fez sexo com a mulher de outro, USER ele vira político sabe falar formalmente igual o lula e o USER mais na real são dois sem noção",1
"USER, fui denfensor de bolsonaro por muito tempo. E infelizmente fiquei frustrado apos variad declarações imbecis que não deveriam vim de um chefe de estado. Cheguei na conclusão aue USER não serve para nosso país. E como esta aí, quem defende uma ressocialização dao aqueles que dequer precisam trabalhar precisam apenas fe9 escravos, isso USER beirando a arrogância, em plena pandemia viral, pessoas fazendo manifestações estúpidas sem noção. Inaceitavel",0
"O menino ficou com uma menina do meu lado e dpois ficou de chamego cmg, e eu logo boiola, iludida, burra e carente tbm fiquei de chamego com ele",1
"O flow é gigante. Hipócritas geralmente são ótimos acusadores. Sucesso ao flow e espero que o USER procure ser na presença de Deus, um ser humano melhor.",0
kkkkkkkkkkkkkk *FelipeNeto* se ele ver esse vídeo ele se mata,0
"Assisti essa porra ontem, mas é claro, tava apenas acompanhando umas amigas, apenas isso... Enfim, prestei atenção em algumas partes, tipo a da cabana e quase fui expulso da sala por gritar que alem de corno, o vampirinho era viado! Muito bom, Felipe. Continue botando pra foder com todas essas boiolagens da atualidade. Sou seu fã cara! :D",1
"Quer dizer que, se alguém der deslike nesse vídeo, essa pessoa é homofóbica? Ativistas gays, vocês são doentes mesmo.",1
"USER USER hipocrita é com ""h""",0
quero buceta,1
A volta do trabalho presencial é desumana!!!!! Levei uma 1 hora e 45 minutos da ana rosa pra casa e tudo que eu fiz no escritório podia bem ter feito do meu lar doce lar tô num odiooooo,0
"USER USER isso aí é até bem comum, relaxa além de você, conheço minha prima e uma outra garota que também tem fobia de palhaço",0
USER USER USER feminazi,1
USER gayzao da minha vida,1
nossa melhor video que eu vi dele vs é USER USER,0
Ficou com peninha? Leva para casa então,0
"Feia ou bonita , gorda ou magra seja como for mulher nasceu para ser respeitada . Feliz dia da Mulher para todas nós",0
Um absurdo o que fizeram com o Monark USER,0
KKKKKKKKKK falo tudo cara...a mulher tenta fuder toda a porra da história dos lobisomens e vampiros!,1
VEM PRO USER USER,0
"tava me arrumando p sair e me deu mo vontade de desmaiar viado, to entendendo nada",1
USER já nasceu infectado kkk,0
"""21 anos sem Mamonas Assassinas"" SE ELES FOSSEM VIVOS VOCÊ ESTARIA FAZENDO TEXTÃO ACUSANDO OS CARA DE MACHISMO, HOMOFOBIA, RACISMO ETC",0
Pior BBB namoral,0
tinha uma grta q era minha amiga na escola e me batia as vezes ela era legal so q ai so ficou la por 1 ano e roubou meu boneco do angry birds filha da puta,1
Tenho vergonha desse país,1
Tô com uma saudade do meu neguinho 😪🥺,0
"RT USER: Esse menor pintou e bordou com essa garota, traia ela na cara de pau, não deixava a garota sair, depois que a garota não qui…",1
USER USER Brasileiro é escroto demais,1
"USER! Não tem coisa mais útil pra ensinar? Ser gay é uma particularidade, não precisa virar ensinamento.",0
eu nn tenho nadave com sua vida ruim nn seu gordola deixa eu tentar entender oq esse colombiano filho da puta ta falano ali,1
"Parabéns, em um único vídeo o sujeito conseguiu ofender negro, homossexuais, deficientes, judeus e todas as minorias. E as marcas que patrocinam esses canais, o que falar delas? Esse aí sempre teve opinião radical e controversa",1
vai toma no cu gringo se manca URL,1
"sim ! viva o amor ! não importa a aparência se é gay se é lésbica se é hetero , se é negro se é branco , se tem cabelo cacheado ou liso , não importa ! O que importa é o amor e a felicidade que esta ou essas pessoas lhe dão ❤",0
USER a minha já vai com ódio pq ela sabe que vai ouvir um monte sobre mim kkkkkk,0
gente eu ainda não tinha visto essa Briga USER USER que tenho certeza se fosse ao contrario já estava pedido expulsão isso é fato eu to torcendo para Lidi mais isso que USER fez com Biel não foi certo esta bem claro que ela tem problema com ele aqui fora ela simplesmente só confirmo,0
vê esse guri hj só me fez sentir mais nojo da cara dele do q eu já tinha,1
180 mulheres são estupradas POR DIA no Brasil. Mais da metade são crianças de até 13 anos. E a punição? Cadê? HASHTAG HASHTAG,0
Se essa bixa cantar never be me .....,1
Depois criticam o sikera USER. Por ele não concordar com isso né? Para que tá feio,0
"USER amg to indo assistir “o assassino de clovehitch”, eh de serial killer AMOO",0
TO VENDO EM DELAY Q ODIOOOO,0
a propaganda era pro mês do orgulho era pra fazer as pessoas se sentirem bem vjndas lá tem USERa gente preconceituosa no mundo para os gays... um lugar que aceita eles e faz eles serem bem vindos é USER bom por isso eu n entendo esse ódio todo por essa propagando belissima,0
HASHTAG antes de ser feminazi URL,1
USER USER USER USER tá cego,0
USER Pra mim tinha que cortar tudo tá esses parasitas André! Aqui pra nós..oh mulher estranha parece uma sapa!,1
USER qm q quer assumi viado,1
USER Bicha ACHEI isso tenebroso n AGUENTO,1
RT USER: Aylla estava um nojo de linda,1
Deixa os filhos do cara em paz com essa lacração,0
NAO VERÁS UM USER DO MEU USER USER USER USER !,0
"Puta, que, paril, USER é muito virgem, virgem, virgem, virgem, virgem .",1
Não sei quem é pior: a gay trouxa ou a gay interesseira 🤡 USER URL,1
E o bonde da Chatuba neguinho .. Beira mar falo ossama so eu o selcinho choro ue se fudeu .. e o barato e louco e o processo e lento liberdade pros ja pros irmão do sofrimento 💪🏾🙏🏽🥋🥋🐻🐻🚩🚩🔐🔒🙌🏾 HASHTAG,1
"Mesmo brava acho a Jojo tão fofinha🥰, dá vontade de abraçar ela e apertar 😍🥰🤗",0
USER USER USER este hijueputa guerrilero... Negriando a la humilde feminazi...,1
(USER) mais um fâ de crepusculo insatisfeito ! USER USER,0
"USER USER Um sacudo que banca de ""cantora"" nada contra pessoal da lgbtqia+ ....querendo ensinar o povo votar kkkkkkkkkkkkkkk fora é lula ladrão da porra ....filho dele realmente saiu da pobreza de catador de bosta no zoológico a grande empresário ... Povo retardado que acredita nele",1
A pior edição de todas do BBB,0
"Infelizmente estao tocando o terror nas mentes desses inocentes que nem formacao de carater ainda nao tem, nojo em ve que maes que aceitam ver seus filhos nesse mar de lama, enfim...tudo pela cobica do dinheiro vendem ate a alma pro USER, lamentavel!!",0
"USER USER USER cara se você vai ficar com ""tadinha"" ""homofobiquinha"" e ""vai pra escola"" então eu não vou me dar o trabalho de discutir com você, como a USER disse ""não jogue pérolas aos porcos"". A gente fala pra quem quer ouvir, pra quem quer continuar na ignorância a gente só vira as costas e sai. Quando você tiver argumentos melhores do que ""fala o que você sabe sobre Platão"" (como se para citar alguém eu precisasse saber tudo sobre a pessoa) a gente conversa beleza? Que USER te abençoe.",0
"KKKKKKKKK Tem menininha de 13 anos que é capaz de da a rosca para ser essa atrizinha de merda nesse filme, juventude tosca chega da nojo.",1
Este cara nunca foi morador de rua olha os dentes dele USERdo perfeito eu acho que isso aí tem alguma maracutaia mais o mundo e a maior faculdade que o ser humano possa a fazer aí fica intelecUSERal agora uma coisa ele é muito insano votar no Bolsonaro tá loco moço moço agora só tem uma coisa USER não vem pra Campinas não porque aqui e muito ruim pra viver viu kkkkkk,0
"Marica,no,es que enserio yo estoy muy buena jaja🤤.",1
USER pensei a mesma coisa,0
"USER NÃO É USER, VÁRIAS USER QUE ESTE USER FALOU USER PASSOU PANO E FICA COM A MARRA DE CERTINHO, DÁ SUA OPINIÃO USER SEM LIGAR PRA OPINIÃO DO PÚBLICO, COMO GOSTA DE APREGOAR",0
"USER apaixonou kkkkk vc voltará morar em planaltina, sim povo de lá é acolhedor, kkkkkkkkkk",0
