text,is_hate_speech
americas lotado caboclas gostosas partindo pálidas escuras estilo pocahontasdas qts cavalas floquinho neve quer porque quer enfiar reserva cheia índio armado caçando hilux pra sujar genética povo descende apenas 70 pessoas separação resto humanidade 24k anosé muita síndrome floquinho neve puta merda,1
user pode achar principe encantadomas sempre vai acabar gordafeiavirgemcheia poster crepúsculo parede,1
povo burro brasil invés ficar perdendo tempo discutindo tá certo errado focar pandemia povo esquerda direita entende momento pra ficar brigando fazendo manifestações pega merda vírus vai dar trabalho pra pai mãe pode ir pra casa direito pois ficar trabalhando dobrado hospitais vamos respeitar quarentenaparem comer capim pouco,1
user romântico pra poha user user mendigo pele macia quente voz doce envolvente caray maluco user user,1
palhaçada isuser user brasil existe isuser pode alguem pato pais filhos poder sair dia pais quanta hipocrisia viu,1
user user falei falo doentes userue saem casa p apoiar presidente user lembrar user ñ user babar ovo presidente ja user userue user funcionário nação,1
user to louca p ver pachinko vi q personagem eh meio canalha ne veremos,1
nate merece mil tiros meio cu fdp fdp fdpppp,1
user user user user negroooooo user,1
user chamem negros neguim mandem todos tomar cu digam puta esqueçam falar mocreias ah chamar todo mundo analfabeto funcional toxoplasmose acreditam terra plana pezao,1
user entendo pq user user fica medo user homem nessa porra,1
homem bicho estranho tmp ridículo 🤣,1
user user lamentável acredita existe pessoas apóia lgbt,1
user user kakakakakak povo br escuta sertanojo bregafunk todas porcarias nao conhece musica verdade,1
pois édecaiu sofrer lavagem cerebral feministas,1
explicar pras crianças user lgbt porra bk,1
bonde chatuba neguinho beira mar falo ossama so selcinho choro ue fudeu barato louco processo lento liberdade pros ja pros irmão sofrimento 💪🏾🙏🏽🥋🥋🐻🐻🚩🚩🔐🔒🙌🏾 hashtag,1
user citam exemplo vida né país desenvolvido cu po ricos nada pago pau esportes pra,1
inacreditável pessoas aqui comentários vejam cara expor mulher dizendo detalhes pornográficos fez ainda insistam nessa balela cara respeita mulheres cara fez gestos obscenos menor filha mulher questão povo brasileiro nasceu feito idiota possível,1
caramba história louca,1
kkkkkkkkkkkkkkkk malandro demais mulher quis dá culpa corno bravo marido fica insistindo estupro,1
mulher diguinidade ter bom carater naõ vota canalha mulheres vagabunda vergonha vota nele url,1
00h user user user user user fazendo parada baitola pra dizer coisa importante viados boa noite rapaziada,1
série ninguém respeita versão argentinos 😂😂😂😂😂😂😂😂😂😂😂😂😂,1
umas otarias merda ligam caralho porto b porto diz alguma coisa porto b graça correm feitas cadelas nojo,1
dinheiro nego traiu ficou feio🤮,1
acordo user 99 afegãos favor sharia absurda lei islâmica malvadão url,1
rt user oscars cancels films that dont have enough black gay and disabled actors url,1
deus cara user ri nada acontecido matado cão hora filha cemitério ai userrrindo isuser certeza impunidade desse pais nojente user desse brasil user,1
user user defendo gays sites evangélicos ensinar tudo paisboa jogada bk copiou boticário 😂😂😂 respeito gaysconvivi umbem gostava bancado senhornão queria trabalhar vivia dando chifre senhor bancava começou após violentado jeito homem dizia querer mudar empenhava existem casos tornaram gays estupro,1
user torcendo atletas oportunistas trans dominarem todos esportes femininos quero ver bug cabeça feminazis ver atletas rebelam contra absurdo,1
