text,hatespeech_comb
andreab O cara vive outro mundo Não mundo real REFUGIADOS vivem Nas favelas vizinhas fortalezas,1
carmeloneto Estes incompetentes cuidam povo brasileiro poucos refugiados aqui estão,0
carmeloneto Os cumpanhero quebraram todas regras,0
GlitteryKisses conseguem pensar sentido lato além vê frente olhos,0
iglira bom dia macaco branco haha,1
Ioen imagino ow mandei fazer body opressor pra Duda hahahaha,0
Ioen parabéns brou Menina bom demais,0
Ioen PARABÉNS IRMÃO SAÚDE E PAZ AMÉM,0
jujubalima Ah convivendo apenas comigo fds Precisava disso Pensando mtas coisas trabalhando meio disso rs,0
jujubalima E sono rs Cheiros Tb adorei,0
jujubalima Oww linda trabalho amanhã dó,0
jujubalima baummm hein coisa gostosa Eu ando reflexiva mas enmm paz Tb mto bom,0
jujubalima SOu nada faço básico hahaha,0
jujubalima Taí ótima sobremesas doces bolos,0
kcris Não deixe lembranças saudades minarem Enfrente ouça músicas Essa linda msm Conhece The Corrs,0
kcris OUvindo música Preciso vc Excelente linda Foda pq tô separando PQP,0
latinlover cedemos encanto caímos boca caro,0
latinlover Perfume pra mão jovem amantepra mão Cappice,1
Nabarra Estimo foda profissional,1
NandaSilva bom dia sapatao vida,1
opressor falei desde ontem kkkk httpstcoUYYWi7iJ33,0
SsarahA Ebandeira n ta errado épesquisa gente burra mulher trabalha menos homem,1
TheEarlyBird JOAQUINVOLTOU tal linha bonés httpstcoiHrd5qTIH6,0
93 0911 jhu Bom viado lindo 93 0911 Dj Luizinho Bom dia sapatão gostoza,1
ENEM Questão 1 OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO SOMETIMES VIDA DE GADO ANA JULIA PA GANGNAM STYLE,0
EXTRA Imagine branco fazendo muçulmano notícia país inteiro httpstco1PUC6Uj0gc,1
EXTRAOFICIAL O terrorista Louvre egípcio 29 anos chegou França mês passado Equipe httpstcoxLvxIyGJ8I,0
FUTEBOL Escolinha ADC Santana Adc Pedreira Copa Rio Branco Amparo httpstco7JnhURaOPd,0
1840 Max Vai tomar cu então 1840 Max Sua gorda feia 1840 Max Meu amor 1841 Leticia Eu gorda Maxwell,1
Ê lá casa httpstcorAHYwfvkAx,0
aangioletti JOAQUINVOLTOU DEIXA EU ADIVINHARPÉSSIMA RELAÇÃO COM O PAI GORDA FEIA SEQUER ASSEDIADA POR ALGUÉMACHO QUE OS DOIS HEIN,1
aaaaaaa quero falar trabalho sobre refugiados sei vou conseguir,0
Aaaaaa Turma 9 homens eu prof fala cabo sapatão conector femea femea todo mundo olha pra mim,1
A afronta portugueses pára httpstcomGEV4CjFRPRenovarPortugal PNR Portugal Imigração httpstco26j98jdIYH,0
A agência LiveAD São Paulo adquiriu 40 exemplares livro MeuAmigoSecreto Feminismo além redes para httpstcoDleQjLxvym,0
A Alemanha tornou sentir “benefícios” i”migrantes” invasão islâmica httpstcouG82badvys,1
A 1a mão Dia Namoradosa 2a calha Dia Mulher O BenficaDortmund criado testar relacionamentos benfiquistas,0
A ameaça terrorismo radical islâmico bem real veja acontece Europa Oriente Médio Os tribunais httpstcocyd14kyXY0,0
A AMPLA MAIORIA SÃO UNS RETARDADOS SÓ FALAM MERDA E SÓ GANHAM FAMA PORQUE OS JOVENS SÃO COMO ELES DÉBEIS MENTAIS httpstcob3WqRv4cww,1
aapbatista Ora bem perder linha O verniz tolerantes acaba sempre estalar,1
A atenção finalmente voltada infiltrados desocupados Eles pegos httpstcolGSLTh3AKd,0
A avaliar quantidade malta conhecida morreu 2016 In Memoriam deste ano coisa durar umas 9 horitas boa Oscars,1
Abaixo apenas alguns exemplos manifestação favor direito orgulho hetero,0
A bazófia Jesus tão grande que assumir erros abafa Palhinha,1
abdnsndnns vai sair burca pra mostrar cara quero ninguém encima httpstcodpXDrPu39E,1
Aberração adulto impor crianças flácida relação ideologia gênero Nada q parece ser nãoàideologiadegênero,1
Abertas inscrições III Festival Dança acontecerá abril Estação Cabo Branco httpstcoq2WbjEvwap,0
Abismo desigualdade injustiça jpintocoelho60 httpstcorbVSxVDliBPNR RenovarPortugal Portugal,0
A bomba encontrada Nazaré logo detonada Panamá quase ano Expresso espera brigada minas armadilhas,0
Aborto crime repugnante contra vida tão frágil indefesa httpstcorswGU7YS2H,0
abri janela tava gorda apartamento frente olhando pra baixo chorando acho caiu empadinha,1
abstrusivo heueheueheu fiquei achando branco arroz tb faço ideia e olha gosto açaí,0
A Burra mulher esqueceu celular ônibus ta chorando aqui busão queria rir,1
Acaba chegar Redacao Radio Angola seguinte informacao Pedro Gonga Já Estou Liberdade foi httpstcofkAShQaBVa,0
Acabámos adicionar data tour Overdose Tourette 11 Fev Covilhã Bilhetes aqui httpstcoNeiqhncuJp,0
Acabámos adicionar data Tour Overdose Tourette 24 Fev Ericeira Bilhetes FNAC aqui httpstco2zTqP5irCM,0
Acabei comemorar dia Internacional Mulher lavando louça DiadaMulher,0
Acabei fazer casos cunhada vascarpim Minhas férias rendendo arte Rsss httpstcozK8yKtycfV,0
Acabei ouvir cigana dizer q os chineses povo sujo higiene q vive dorme qualquer lado O cliché morreu hj 16h09,1
Acabei ouvir casal rastas dizer isto As pessoas passam dizem cheiramos malpffffelas cheiram champô,0
acabei pagar 20 reais carregador pq esqueci meu começando dia sentindo mulher burra brasil,1
Acabo nomear general HR McMaster Conselheiro Segurança Nacional httpstcoiEsaOS0yfG,0
A cada feliz dia mulher menos pra feminista vejo quão burra sociedade,1
A cadeira copo certamente lula httpstcocNGQ6nRgYy,1
