text,homophobia,racism,misogyny,xenophobia
fico vendo penso desvantagens kpop sendo cada vez difundido millenium americano ta tão acostumado gente dança perfomances coreografia veem dança verdade sincronia fica bugado,0.0,0.0,0.0,2.0
petista odeia mulher bomita inteligente honesta rica então jornalistas invejosas pt descabelam,0.0,0.0,2.0,0.0
rt si pego menina dou tanta ripada mano vai ficar feia fofoca tmnc,0.0,0.0,2.0,0.0
auge gay padrão colocar ator pornô icon,2.0,0.0,0.0,0.0
jeito nordestino pronuncia t jeito todo resto fala merda,0.0,0.0,0.0,2.0
onde talarico quer fala talaricagem ond maconheiro acha bandido onde homofóbico come viado onde piranha briga homem outros onde faz povo fala abecedário todo onde tenta melhor q outro sendo q ninguém melhor q ninguém,2.0,0.0,2.0,0.0
fala clube corrompia tudo todos árbitros incluídos putas senhoras sexo,0.0,0.0,2.0,0.0
kkkkkk eee negãoo,0.0,2.0,0.0,0.0
diga q responsa eh comi vaca usando 2 camisinha,0.0,0.0,2.0,0.0
viado tá chatinha eoem,2.0,0.0,0.0,0.0
tio acabo manda nazismo existiu pq alemao sao burro aiai,0.0,0.0,0.0,2.0
ministro barroso quis avisar pra comprar pomadinha vem rola direção fiofiozinho pensou stf ia defender intercept,2.0,0.0,0.0,0.0
cu msr preta,0.0,2.0,0.0,0.0
vai caçar rola vai mulambo,1.0,2.0,0.0,0.0
rt viadinho férias resumisse nisso acertei 13 15 testepoptime via,2.0,0.0,0.0,0.0
ficou frente tals aí bicha ficou lá longe falando pro amigo sair perto mim nojenta sei oq fiquei boa ia arrumar confusão porta trabalho matheus chamou uber entramos saímos bicha gritou,2.0,0.0,0.0,0.0
piranha gostosa,0.0,0.0,2.0,0.0
rt mulher faz igual pior vsf kkkkkkk,0.0,0.0,2.0,0.0
putinha dois amantes,0.0,0.0,2.0,0.0
penah gata kkkkk bai dar cu passa,0.0,0.0,2.0,0.0
putinha dois amantes,0.0,0.0,2.0,0.0
nesse frio bixa brincando guerrinha agua,2.0,0.0,0.0,0.0
racho viado trabalho kskskks,2.0,0.0,0.0,0.0
cê tá doido kkkkkk cadê respeito cpt kkk puta vc vem falar cara piranhaaaaaaaaaaaaaa,0.0,0.0,2.0,0.0
rt metendo putinha gosta dar cuzinho gostoso,0.0,0.0,2.0,0.0
boiola,2.0,0.0,0.0,0.0
inferno mulher bicha,2.0,0.0,0.0,0.0
ta bom boiola,2.0,0.0,0.0,0.0
sofia boiola ryujin park cheayoung — deus kkkkkkkkkkkkk amoh,2.0,0.0,0.0,0.0
putinha aguenta três pronta pro serviço,1.0,0.0,2.0,0.0
bichinha chorando choro junto,2.0,0.0,0.0,0.0
chama dm faço putinha,1.0,0.0,2.0,0.0
1340 tarde viado fazendo piada estupro inevitável largar mão comunidade lgbt,2.0,0.0,0.0,0.0
ultima foto to mt boiola,2.0,0.0,0.0,0.0
sotaque paulista chatooooooooooooo,0.0,0.0,0.0,2.0
drogado noiadonão vão convidar escrava isaura perceberam hoje vcs artistas defensores socialismo viraram chacotanão influenciam ninguém além turminha insana efeito maioria povo protestinhos hipócritas,0.0,2.0,0.0,0.0
rt cearense sim pois fala “está música antiga” ei man musica aí zanta,0.0,0.0,0.0,2.0
aborteira faz textao,0.0,0.0,2.0,0.0
rt nego ta balaca nunca antes vista ,0.0,2.0,0.0,0.0
ta querendo pegar bofe outro vadia,0.0,0.0,2.0,0.0
sorte nordestino esfaqueou pois cabras nordeste erram,0.0,0.0,0.0,2.0
pode vimmmm bande todo putinhas kkkkkkk,0.0,0.0,2.0,0.0
mineiro,0.0,0.0,0.0,2.0
vou chegar caipirinha limão c viado sei pq diabos n seguindo n vai entrar casa,2.0,0.0,0.0,0.0
indios acham todos certo fez ministro,0.0,2.0,0.0,0.0
rt 38 1235 n茫o t茫o feia vc t茫o bonita ia dizer s茫o parecidas,0.0,0.0,2.0,0.0
pq sul ainda faz parte brasil,0.0,0.0,0.0,2.0
kkkkk nada pretinho tmj馃挆,0.0,2.0,0.0,0.0
namoral bem hr chego p pagar rol锚 soltaram peido podre mano cada rea莽茫o viado falando jesus miseric贸rdia tudo pra mim kkkkkkkkk,2.0,0.0,0.0,0.0
calou puta,0.0,1.0,2.0,0.0
茅 s茅rio viadao kkkjjkkkk,2.0,0.0,0.0,0.0
whindersson merece foder msm mlk deixa mulher sair ai esfregando outros caras dps fica chateado chamado corno namorar feminista n d谩 bom fica dica ja cometi erro 3 vezes smp deu merda,0.0,0.0,2.0,0.0
sei la voce eh xuxuzinho caf茅 quentinho bolinho ana maria voce eh pr铆ncipezinho simplesmen鈥� 鈥� 17 dias tava tao boiola q consegui responder amo morzi,2.0,0.0,0.0,0.0
j谩 parou pensar at茅 puta ganha melhor gente,0.0,0.0,2.0,0.0
rt dominicanas perderem 茅 s贸 pq desconcentram tirando shortinho cu,0.0,0.0,2.0,1.0
rt nunca vi macho pra gostar tanto pegar pau outros igual changkyun,2.0,0.0,0.0,0.0
茅 bom fa taylor n茫o gay insuportavel acha taylor s贸 devia fazer secret session exclusivamente pra jkkkkkkkkkj toma cu mo莽o,2.0,0.0,0.0,0.0
perde tempo ju bloqueia baitola logo,2.0,0.0,0.0,0.0
otavio qnd manda audio parece ta brigando kkkkkk sotaque carioca eh foda,0.0,0.0,0.0,2.0
advogada fl谩via ferronato chamada puta presidente nacional oab felipe santa cruz pode n茫o 茅 feministas m铆dia raivosa oab todos caladinhos stfvergonhanacional,0.0,0.0,2.0,0.0
cada vagabunda tirou paz hoje olho vejo quanto perdi tempo coloquei lugar deixei gritarem 茅 ditado lobo sil锚ncio imp玫e respeito cachorro latindo,0.0,0.0,2.0,0.0
vc vontade imensa dar donut queimado odeixa pra l谩,2.0,1.0,0.0,0.0
rt hahahahahahahahahah completamente bitolado bolha f茅tida paulista vcs nunca v茫o manipular hist贸ria,0.0,0.0,0.0,2.0
biba p茫o ovo feia du cacete hauhauhauhauhau,2.0,0.0,0.0,0.0
entao b lgbtq burro pra krl vc miga,2.0,0.0,0.0,0.0
falta prender bambi,2.0,0.0,0.0,0.0
queima rosca desgraçado hahahahaha recalcada invejosa jornalista taubaté rs,2.0,0.0,0.0,0.0
acredito comparando lula dilma bolsonaro nunca vi tanta imundície tbm onde vc veio esperar,0.0,0.0,0.0,2.0
bambi kk,2.0,0.0,0.0,0.0
aposto vaca vai pagar hoje,0.0,0.0,2.0,0.0
putinha surra priquito,0.0,0.0,2.0,0.0
puta curte man kkk,0.0,0.0,2.0,0.0
rt parsa feminismo q perdoe queria 3m braço c mina zoada crlh vsf falsa desgraçada,0.0,0.0,2.0,0.0
sapatão,2.0,0.0,0.0,0.0
rt pensei feio viu nordestino torcendo pra time sulista,0.0,0.0,0.0,2.0
arrumar conta coisa boiola,2.0,0.0,0.0,0.0
sapatão foda cara,2.0,0.0,0.0,0.0
safadocretino bixa ruimnunca jogou cmjgk morte lucas berti,2.0,0.0,0.0,0.0
rt caralho viado parece thales homem foda pqp muita saudades fi,2.0,0.0,0.0,0.0
carioca assaltado carioca rouba kkkkk local fala,0.0,0.0,0.0,2.0
vai fude céu piranha,0.0,0.0,2.0,0.0
to boa cabuloso dessa bixa,2.0,0.0,0.0,0.0
sapatão foda pode beber vai atrás ex hein,2.0,0.0,0.0,0.0
bicha,2.0,0.0,0.0,0.0
quer ficar magra bela enfie dedo goela — vai dá meia hora cú vai,0.0,0.0,2.0,0.0
perderam show puta ontem,0.0,0.0,2.0,0.0
vee tremenda vaca orangeisthenewblack,0.0,0.0,2.0,0.0
