text,is_hate_speech
pior adolescentezinhas merdasão pessoas levam filmes tão sério livrofilme faz quiser ruim ta rendendo milhões,0
podia ter beijo pra ver homofóbicos cortar pulsos,0
monark racista filha putagem sofreram mano flow vai cair bah foda tudo,1
fudeu mãe acabou chegar casa acabei acordar tomei cu,0
vergonhaainda segura bandeira país verdade puteiro tá tendo aqui user tá preocupado fama brasil nunca verá apoio,0
user vagabunda hipócrita pq beijei duas então geral traiu n pode reclamar,0
heterofobismo saiba héteros nunca perseguidos mortos torturados centenas anos orientação sexual alguns países oriente gays presos vezes mortos causa orientação sexual nunca aconteceu vai acontecer héteros implantação escolas ideia existem casais diferentes ótima conhecimento arma contra ignorância certeza vai ajudar muitas crianças confusas aí heterofobismo estude pouco antes abrir boca passar vergonha favor,0
user jajajajajaja llevan 62 años diciendo lo mismo son gente ignorante url,1
pra mim kkkk puta história fantasiosa,0
user desgraçado mentiroso vc acabou dignidade,0
rt user ojalá lina indique alguno los disney así aprenden burros hashtag,1
user abraça ladrão bosta,0
americas lotado caboclas gostosas partindo pálidas escuras estilo pocahontasdas qts cavalas floquinho neve quer porque quer enfiar reserva cheia índio armado caçando hilux pra sujar genética povo descende apenas 70 pessoas separação resto humanidade 24k anosé muita síndrome floquinho neve puta merda,1
diabo sujo orgulho contar cada detalhe pra envergonhar ainda 🤢,0
user ja ta pedindo p punida putinha inutil krl cala boca vou fazer oq quero,0
sinceramente brasil crime compensao cara mata própria filha forma cruel ainda ta ai livreque bosta justiça,0
idiota porque vc acertou faca,0
importante homem trate bem mulheres acredito conquistou mulher questão pois parando carro chamando pra fazer sexo,0
bosta✌🏽,0
user user hindu santo par atyachar koi aam bat nahi hai gay mata ko kata jaa raha hai koi aam bat nahi hai yeh bharet hai yaha dalo aur shasan karo is baat ka fayda angrejo aur mugloo ne uthaya tha modi ji ab karo vichar kattee gaye aur kathe hindu kare pukar,0
user user user user kkkkkkkkkk,0
cara foda comentários riqueza detalhes perfeito merece mundo,0
user pode achar principe encantadomas sempre vai acabar gordafeiavirgemcheia poster crepúsculo parede,1
user anunciaram dinossauro dava pulo raiva daquela final santo andré ainda cima mão saco mucho mostrando torcida contrataram lixo agora fica fazendo vítima,0
rt user user semejante hipócrita vis sentis seguro las pandillas son tus amigos el salvadoreño promedio vive…,0
primeiramente mandaria foder pq amigo nenhum diz outras garotas melhores perguntar realmente interesse parar agir,0
user maluco ai asqueroso pprt mina maluquinha cabeça tambem,0
user canalha,0
user ladrões unidos,0
meno burrão,0
podridão vindo tona user fazendo tudo ruim nesse país mostrar força user vão cair traidores nação,1
user user user nojento fdp ladrão,0
rt user merda inferno cu buceta porra carai,0
sexo 4 hoje kkkk boy pornozão arrebentando tv rabudo amadorismo bundona porem cuzin apertado dlc fuder ☺ url,0
user pais bizarro,0
user importa velhinho burro sabe falar analfabeto respeito velhos vou contar divino,0
mulher coitada carente user culpada vara,0
